"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01470",18432.6240956581,5.74935939104443,1.30182722201652,4.4163766848712,1.00369116636601e-05,0.00276910672099101
"AT1G02800",31.8179866313999,-3.96164172219226,1.10596271538964,-3.58207529699276,0.000340875504295274,0.035621032284828
"AT1G04570",2003.7349005137,7.0766906183987,1.15856655038369,6.10814339155145,1.00796776858043e-09,1.40829656631065e-06
"AT1G06350",35.5422283061755,-3.99102292762573,1.08017338638227,-3.69479842582727,0.000220061297179384,0.0263090616154526
"AT1G07050",215.343322075033,3.96146753087264,0.945927071173059,4.18792066703404,2.81521883040129e-05,0.00593944932771604
"AT1G07135",566.87624439528,5.12417070214537,1.35779212180559,3.77389927357308,0.000160715671361074,0.0211920156949863
"AT1G07150",305.915225490429,4.16487120150417,0.789250088057196,5.27699808277037,1.31317259716973e-07,8.67485772155859e-05
"AT1G09350",16798.2268602935,6.89923315483011,1.58247504609862,4.35977374293469,1.30196991090003e-05,0.00330400854861084
"AT1G10585",234.529997932704,5.4985439506881,1.52331799220043,3.6095838024899,0.000306688683702529,0.0334024766809106
"AT1G11210",3768.95430116435,9.70738997775974,1.2527961459543,7.74857905582494,9.29265099589342e-15,8.33225551546783e-11
"AT1G12420",401.171728339985,2.87924370204944,0.731375816673767,3.93674993950987,8.25925921294718e-05,0.0132244013808734
"AT1G16850",7301.91206708274,8.42367390278932,1.56739715250893,5.37430726431113,7.68776650421458e-08,5.5145886688032e-05
"AT1G20440",86445.3902351251,5.65144145998185,1.39382818731431,4.05461843247072,5.02162039327035e-05,0.00932695094526566
"AT1G20450",70696.4837144072,5.41899875556191,1.30696069980146,4.14625991155288,3.37950189100792e-05,0.00687378932260966
"AT1G22570",421.594576487071,4.69195401292956,1.02388506587957,4.58250068224108,4.59448209249232e-06,0.00144548855025728
"AT1G22770",2439.06232104671,3.37847441934533,0.769913764585527,4.38812055940328,1.14334395386702e-05,0.00310660410980261
"AT1G24580",518.236822315469,5.11502982705521,1.03533930932015,4.94043815492137,7.79472137432726e-07,0.000327260264211193
"AT1G25250",650.735378159782,4.02086442132584,1.06954127983333,3.75942892260542,0.000170301650859147,0.0219678220029384
"AT1G26790",561.634401181584,4.53828541307675,0.958265406698812,4.73593785328323,2.18044402068738e-06,0.000831955374957165
