GeneID,AverageFPKM
gene:AT1G01020,1.82902
gene:AT1G01070,2.09624
gene:AT1G01040,1.70012
gene:AT1G01050,13.5294
gene:AT1G01080,11.9824
gene:AT1G01060,39.2788
gene:AT1G01130,1.41739
gene:AT1G01120,12.517
gene:AT1G01180,3.31445
gene:AT1G01140,7.19477
gene:AT1G01225,1.01424
gene:AT1G01210,6.18675
gene:AT1G04017,1.43631
gene:AT1G01230,7.2787
gene:AT1G01250,1.33192
gene:AT1G01100,103.449
gene:AT1G01260,1.3527
gene:AT1G01160,6.79345
gene:AT1G04007,1.21367
gene:AT1G01170,29.8543
gene:AT1G01240,4.2972
gene:AT1G01290,2.68407
gene:AT1G01220,2.10411
gene:AT1G01300,10.0895
gene:AT1G01350,2.9053
gene:AT1G01360,2.99757
gene:AT1G01370,1.10882
gene:AT1G01420,3.29707
gene:AT1G01440,1.34029
gene:AT1G01470,4.7538
gene:AT1G01448,1.48506
gene:AT1G01430,12.4123
gene:AT1G01500,2.12726
gene:AT1G01510,3.2534
gene:AT1G01520,1.94781
gene:AT1G01490,13.3641
gene:AT1G01540,7.9969
gene:AT1G01600,1.1699
gene:AT1G01610,7.63957
gene:AT1G01550,21.1484
gene:AT1G01320,14.1304
gene:AT1G01630,10.9069
gene:AT1G01715,1.05757
gene:AT1G01650,2.99492
gene:AT1G01710,4.83878
gene:AT1G01770,1.34108
gene:AT1G01780,2.44058
gene:AT1G01725,2.73364
gene:AT1G01720,2.50557
gene:AT1G01730,3.9089
gene:AT1G01620,57.667
gene:AT1G01820,5.05433
gene:AT1G01800,11.5057
gene:AT1G01830,3.18748
gene:AT1G01860,2.12026
gene:AT1G01840,1.03299
gene:AT1G01930,1.60922
gene:AT1G01940,3.73637
gene:AT1G01970,6.57627
gene:AT1G01990,4.05943
gene:AT1G02000,2.0332
gene:AT1G01790,8.19057
gene:AT1G02050,1.30889
gene:AT1G01950,1.77156
gene:AT1G01960,2.78112
gene:AT1G02020,2.05331
gene:AT1G02010,1.72534
gene:AT1G01920,1.43815
gene:AT1G04077,1.21452
gene:AT1G01910,6.1074
gene:AT1G02090,6.34615
gene:AT1G02110,3.75827
gene:AT1G02100,4.32875
gene:AT1G02080,2.45823
gene:AT1G02140,20.7052
gene:AT1G02145,2.37689
gene:AT1G02120,8.1037
gene:AT1G02130,9.03513
gene:AT1G02160,8.25768
gene:AT1G02150,13.4372
gene:AT1G02170,3.97438
gene:AT1G02180,2.56941
gene:AT1G02220,1.05049
gene:AT1G02270,2.68852
gene:AT1G02290,1.48362
gene:AT1G02300,1.85641
gene:AT1G02280,12.3769
gene:AT1G02205,8.47275
gene:AT1G02340,1.5003
gene:AT1G02370,1.09039
gene:AT1G02410,4.09068
gene:AT1G02305,9.81222
gene:AT1G02330,4.55835
gene:AT1G02475,8.56982
gene:AT1G02500,48.8802
gene:AT1G02640,1.22698
gene:AT1G02680,2.96215
gene:AT1G02690,1.44594
gene:AT1G02705,1.11615
gene:AT1G02720,1.58395
gene:AT1G02740,1.2465
gene:AT1G02730,2.57539
gene:AT1G02750,2.06157
gene:AT1G02560,44.176
gene:AT1G02800,1.01288
gene:AT1G02816,2.06434
gene:AT1G02820,25.4788
gene:AT1G02860,1.64055
gene:AT1G02870,5.56367
gene:AT1G02900,1.35886
gene:AT1G02880,3.75822
gene:AT1G02890,2.87723
gene:AT1G02840,11.753
gene:AT1G02920,6.01743
gene:AT1G02910,7.10607
gene:AT1G02930,12.2888
gene:AT1G03000,1.58659
gene:AT1G02960,1.8656
gene:AT1G02780,163.28
gene:AT1G02990,1.00178
gene:AT1G03055,2.13552
gene:AT1G03030,2.12233
gene:AT1G03040,5.69035
gene:AT1G03110,2.09661
gene:AT1G03090,1.98028
gene:AT1G03060,1.19768
gene:AT1G03080,2.59622
gene:AT1G03150,3.86218
gene:AT1G03190,1.01981
gene:AT1G03210,3.22945
gene:AT1G03230,2.86055
gene:AT1G03220,6.44508
gene:AT1G03260,1.61928
gene:AT1G03250,5.40872
gene:AT1G03160,4.61517
gene:AT1G03280,3.04033
gene:AT1G03330,9.31418
gene:AT1G03290,2.60613
gene:AT1G03360,2.04055
gene:AT1G03350,5.52843
gene:AT1G03310,5.8263
gene:AT1G03365,1.54602
gene:AT1G03370,1.74256
gene:AT1G03380,2.62672
gene:AT1G03400,7.24043
gene:AT1G03440,2.01828
gene:AT1G03430,3.32495
gene:AT1G03457,1.0157
gene:AT1G03410,1.16402
gene:AT1G04183,4.7301
gene:AT1G03495,2.5829
gene:AT1G03530,1.12326
gene:AT1G03520,1.74714
gene:AT1G03560,1.19348
gene:AT1G03475,21.3353
gene:AT1G03590,1.86895
gene:AT1G03550,1.52589
gene:AT1G03130,419.877
gene:AT1G03140,6.58272
gene:AT1G03610,3.1105
gene:AT1G03600,104.66
gene:AT1G03687,2.04526
gene:AT1G03760,1.1344
gene:AT1G03740,1.92744
gene:AT1G03820,4.0863
gene:AT1G03850,2.04535
gene:AT1G03780,1.0154
gene:AT1G03680,92.8173
gene:AT1G03860,8.81995
gene:AT1G03870,18.4008
gene:AT1G03900,14.8721
gene:AT1G04223,9.44422
gene:AT1G03910,3.58473
gene:AT1G03930,4.85998
gene:AT1G03950,2.54202
gene:AT1G03940,2.4245
gene:AT1G03970,3.83277
gene:AT1G04233,1.15798
gene:AT1G04000,4.9781
gene:AT1G03960,1.24915
gene:AT1G04010,1.09227
gene:AT1G04020,1.21678
gene:AT1G04070,2.48075
gene:AT1G04040,25.9297
gene:AT1G04100,1.07778
gene:AT1G04080,7.31262
gene:AT1G04120,3.06528
gene:AT1G04130,2.30946
gene:AT1G04140,4.51853
gene:AT1G04190,4.81325
gene:AT1G04200,1.8119
gene:AT1G04170,17.0067
gene:AT1G04210,2.21652
gene:AT1G04220,1.42947
gene:AT1G04230,1.43272
gene:AT1G04240,11.2427
gene:AT1G04250,14.193
gene:AT1G04280,2.75055
gene:AT1G04290,7.03362
gene:AT1G04340,6.65083
gene:AT1G04350,7.48275
gene:AT1G04300,4.36998
gene:AT1G04260,3.20662
gene:AT1G04270,88.611
gene:AT1G04400,6.08517
gene:AT1G04425,1.87722
gene:AT1G04420,18.2564
gene:AT1G04410,64.224
gene:AT1G04440,6.77878
gene:AT1G04430,11.1406
gene:AT1G04520,5.15605
gene:AT1G04510,4.43725
gene:AT1G04480,41.0183
gene:AT1G04277,2.23836
gene:AT1G04555,1.47703
gene:AT1G04530,12.9098
gene:AT1G04550,5.48355
gene:AT1G04590,3.15117
gene:AT1G04620,1.81911
gene:AT1G04630,9.79748
gene:AT1G04660,1.21357
gene:AT1G04635,1.03123
gene:AT1G04640,8.78017
gene:AT1G04680,17.4619
gene:AT1G04710,2.98873
gene:AT1G04690,12.5275
gene:AT1G04770,3.98247
gene:AT1G04780,2.38453
gene:AT1G04750,8.81215
gene:AT1G04790,1.83367
gene:AT1G04800,4.22225
gene:AT1G04810,3.2725
gene:AT1G04830,2.1625
gene:AT1G04860,1.70357
gene:AT1G04870,4.03582
gene:AT1G04850,10.1456
gene:AT1G04820,47.9153
gene:AT1G04900,1.15322
gene:AT1G04910,3.61158
gene:AT1G04980,1.33469
gene:AT1G04960,3.449
gene:AT1G04970,3.1282
gene:AT1G04940,11.6862
gene:AT1G04950,2.28907
gene:AT1G04985,4.84995
gene:AT1G04990,1.56195
