GeneID,AverageFPKM
AT1G01020,1.82902
AT1G01070,2.09624
AT1G01040,1.70012
AT1G01050,13.5294
AT1G01080,11.9824
AT1G01060,39.2788
AT1G01130,1.41739
AT1G01120,12.517
AT1G01180,3.31445
AT1G01140,7.19477
AT1G01225,1.01424
AT1G01210,6.18675
AT1G04017,1.43631
AT1G01230,7.2787
AT1G01250,1.33192
AT1G01100,103.449
AT1G01260,1.3527
AT1G01160,6.79345
AT1G04007,1.21367
AT1G01170,29.8543
AT1G01240,4.2972
AT1G01290,2.68407
AT1G01220,2.10411
AT1G01300,10.0895
AT1G01350,2.9053
AT1G01360,2.99757
AT1G01370,1.10882
AT1G01420,3.29707
AT1G01440,1.34029
AT1G01470,4.7538
AT1G01448,1.48506
AT1G01430,12.4123
AT1G01500,2.12726
AT1G01510,3.2534
AT1G01520,1.94781
AT1G01490,13.3641
AT1G01540,7.9969
AT1G01600,1.1699
AT1G01610,7.63957
AT1G01550,21.1484
AT1G01320,14.1304
AT1G01630,10.9069
AT1G01715,1.05757
AT1G01650,2.99492
AT1G01710,4.83878
AT1G01770,1.34108
AT1G01780,2.44058
AT1G01725,2.73364
AT1G01720,2.50557
AT1G01730,3.9089
AT1G01620,57.667
AT1G01820,5.05433
AT1G01800,11.5057
AT1G01830,3.18748
AT1G01860,2.12026
AT1G01840,1.03299
AT1G01930,1.60922
AT1G01940,3.73637
AT1G01970,6.57627
AT1G01990,4.05943
AT1G02000,2.0332
AT1G01790,8.19057
AT1G02050,1.30889
AT1G01950,1.77156
AT1G01960,2.78112
AT1G02020,2.05331
AT1G02010,1.72534
AT1G01920,1.43815
AT1G04077,1.21452
AT1G01910,6.1074
AT1G02090,6.34615
AT1G02110,3.75827
AT1G02100,4.32875
AT1G02080,2.45823
AT1G02140,20.7052
AT1G02145,2.37689
AT1G02120,8.1037
AT1G02130,9.03513
AT1G02160,8.25768
AT1G02150,13.4372
AT1G02170,3.97438
AT1G02180,2.56941
AT1G02220,1.05049
AT1G02270,2.68852
AT1G02290,1.48362
AT1G02300,1.85641
AT1G02280,12.3769
AT1G02205,8.47275
AT1G02340,1.5003
AT1G02370,1.09039
AT1G02410,4.09068
AT1G02305,9.81222
AT1G02330,4.55835
AT1G02475,8.56982
AT1G02500,48.8802
AT1G02640,1.22698
AT1G02680,2.96215
AT1G02690,1.44594
AT1G02705,1.11615
AT1G02720,1.58395
AT1G02740,1.2465
AT1G02730,2.57539
AT1G02750,2.06157
AT1G02560,44.176
AT1G02800,1.01288
AT1G02816,2.06434
AT1G02820,25.4788
AT1G02860,1.64055
AT1G02870,5.56367
AT1G02900,1.35886
AT1G02880,3.75822
AT1G02890,2.87723
AT1G02840,11.753
AT1G02920,6.01743
AT1G02910,7.10607
AT1G02930,12.2888
AT1G03000,1.58659
AT1G02960,1.8656
AT1G02780,163.28
AT1G02990,1.00178
AT1G03055,2.13552
AT1G03030,2.12233
AT1G03040,5.69035
AT1G03110,2.09661
AT1G03090,1.98028
AT1G03060,1.19768
AT1G03080,2.59622
AT1G03150,3.86218
AT1G03190,1.01981
AT1G03210,3.22945
AT1G03230,2.86055
AT1G03220,6.44508
AT1G03260,1.61928
AT1G03250,5.40872
AT1G03160,4.61517
AT1G03280,3.04033
AT1G03330,9.31418
AT1G03290,2.60613
AT1G03360,2.04055
AT1G03350,5.52843
AT1G03310,5.8263
AT1G03365,1.54602
AT1G03370,1.74256
AT1G03380,2.62672
AT1G03400,7.24043
AT1G03440,2.01828
AT1G03430,3.32495
AT1G03457,1.0157
AT1G03410,1.16402
AT1G04183,4.7301
AT1G03495,2.5829
AT1G03530,1.12326
AT1G03520,1.74714
AT1G03560,1.19348
AT1G03475,21.3353
AT1G03590,1.86895
AT1G03550,1.52589
AT1G03130,419.877
AT1G03140,6.58272
AT1G03610,3.1105
AT1G03600,104.66
AT1G03687,2.04526
AT1G03760,1.1344
AT1G03740,1.92744
AT1G03820,4.0863
AT1G03850,2.04535
AT1G03780,1.0154
AT1G03680,92.8173
AT1G03860,8.81995
AT1G03870,18.4008
AT1G03900,14.8721
AT1G04223,9.44422
AT1G03910,3.58473
AT1G03930,4.85998
AT1G03950,2.54202
AT1G03940,2.4245
AT1G03970,3.83277
AT1G04233,1.15798
AT1G04000,4.9781
AT1G03960,1.24915
AT1G04010,1.09227
AT1G04020,1.21678
AT1G04070,2.48075
AT1G04040,25.9297
AT1G04100,1.07778
AT1G04080,7.31262
AT1G04120,3.06528
AT1G04130,2.30946
AT1G04140,4.51853
AT1G04190,4.81325
AT1G04200,1.8119
AT1G04170,17.0067
AT1G04210,2.21652
AT1G04220,1.42947
AT1G04230,1.43272
AT1G04240,11.2427
AT1G04250,14.193
AT1G04280,2.75055
AT1G04290,7.03362
AT1G04340,6.65083
AT1G04350,7.48275
AT1G04300,4.36998
AT1G04260,3.20662
AT1G04270,88.611
AT1G04400,6.08517
AT1G04425,1.87722
AT1G04420,18.2564
AT1G04410,64.224
AT1G04440,6.77878
AT1G04430,11.1406
AT1G04520,5.15605
AT1G04510,4.43725
AT1G04480,41.0183
AT1G04277,2.23836
AT1G04555,1.47703
AT1G04530,12.9098
AT1G04550,5.48355
AT1G04590,3.15117
AT1G04620,1.81911
AT1G04630,9.79748
AT1G04660,1.21357
AT1G04635,1.03123
AT1G04640,8.78017
AT1G04680,17.4619
AT1G04710,2.98873
AT1G04690,12.5275
AT1G04770,3.98247
AT1G04780,2.38453
AT1G04750,8.81215
AT1G04790,1.83367
AT1G04800,4.22225
AT1G04810,3.2725
AT1G04830,2.1625
AT1G04860,1.70357
AT1G04870,4.03582
AT1G04850,10.1456
AT1G04820,47.9153
AT1G04900,1.15322
AT1G04910,3.61158
AT1G04980,1.33469
AT1G04960,3.449
AT1G04970,3.1282
AT1G04940,11.6862
AT1G04950,2.28907
AT1G04985,4.84995
AT1G04990,1.56195
AT1G05030,1.42968
AT1G05055,2.0176
AT1G05065,1.16158
AT1G05060,3.69235
AT1G05010,21.2569
AT1G05087,1.00738
AT1G05070,9.6176
AT1G05090,1.45425
AT1G05120,1.24409
AT1G05140,11.9703
AT1G05150,2.92915
AT1G05180,2.48158
AT1G05160,1.20791
AT1G05170,3.45455
AT1G05210,2.52594
AT1G05270,3.5979
AT1G05350,2.6719
AT1G05360,1.64106
AT1G05190,112.802
AT1G05230,2.14182
AT1G05320,1.85311
AT1G05200,3.34198
AT1G04343,8.56898
AT1G05205,6.80065
AT1G05410,2.02232
AT1G05430,5.65928
AT1G05380,1.4451
AT1G05385,6.98377
AT1G05460,1.05515
AT1G05470,1.38362
AT1G05540,1.21768
AT1G05520,2.21415
AT1G05500,6.36888
AT1G05560,4.56013
AT1G05620,1.57893
AT1G05590,2.34708
AT1G05630,1.47214
AT1G05570,1.24809
AT1G05780,1.63949
AT1G05785,1.83569
AT1G05720,5.37097
AT1G05805,2.43489
AT1G05810,2.42717
AT1G05790,2.04079
AT1G05710,3.689
AT1G05830,1.62563
AT1G05835,2.91665
AT1G04433,10.161
AT1G05840,2.46807
AT1G05860,2.17108
AT1G05900,3.33292
AT1G05910,1.65593
AT1G05890,4.2892
AT1G05970,1.57432
AT1G05940,4.16023
AT1G06010,3.2047
AT1G05870,8.14637
AT1G05960,2.42561
AT1G06002,2.33105
AT1G06000,6.67943
AT1G06050,1.43768
AT1G06080,3.18945
AT1G06060,3.75945
AT1G06070,2.25471
AT1G06110,3.9282
AT1G06130,4.55373
AT1G06180,1.25417
AT1G06150,3.06467
AT1G06210,3.5268
AT1G06200,8.9424
AT1G06190,10.6508
AT1G06240,2.41801
AT1G06265,1.05231
AT1G06220,3.60648
AT1G06350,1.45656
AT1G06290,4.17988
AT1G06230,3.01812
AT1G06380,1.96765
AT1G06040,62.133
AT1G05850,120.635
AT1G06360,7.48393
AT1G06390,5.97567
AT1G06400,9.8142
AT1G06410,6.24367
AT1G06460,11.5519
AT1G06510,4.31818
AT1G06470,2.41491
AT1G06500,5.47755
AT1G06515,5.5301
AT1G06430,16.7414
AT1G06530,7.79458
AT1G06550,5.6016
AT1G06620,1.56785
AT1G06560,1.20879
AT1G06570,11.9299
AT1G06630,1.91814
AT1G06640,20.8131
AT1G06730,1.71923
AT1G06720,1.4756
AT1G06700,6.8337
AT1G06780,1.16121
AT1G06830,3.33367
AT1G06790,2.26889
AT1G06800,1.98413
AT1G06840,1.24896
AT1G06850,1.71029
AT1G06870,2.41764
AT1G06820,3.12962
AT1G04503,14.6197
AT1G06760,31.0237
AT1G06910,1.11314
AT1G06900,2.09155
AT1G06890,3.7655
AT1G06980,1.20973
AT1G07000,1.4885
AT1G06960,3.38793
AT1G06950,8.63095
AT1G07030,3.22047
AT1G07040,1.54572
AT1G07070,9.26685
AT1G07090,3.76963
AT1G07080,21.0385
AT1G07010,17.5754
AT1G07020,3.18863
AT1G07110,8.1689
AT1G07170,4.76785
AT1G07140,15.9342
AT1G07200,2.52221
AT1G07230,3.88655
AT1G07210,5.32935
AT1G07220,1.89924
AT1G07180,17.1912
AT1G07240,2.9654
AT1G07250,6.0745
AT1G07300,1.41002
AT1G07310,4.79232
AT1G07280,11.9501
AT1G07370,4.0856
AT1G07360,5.90838
AT1G07420,2.61565
AT1G07450,1.21886
AT1G07350,8.37683
AT1G07440,8.70715
AT1G07470,3.33685
AT1G07490,2.67759
AT1G07530,2.3809
AT1G07480,3.39202
AT1G07510,1.53271
AT1G07570,2.15879
AT1G07320,83.1735
AT1G07615,1.14191
AT1G07610,8.00603
AT1G07630,1.2286
AT1G07660,7.79715
AT1G07650,3.99052
AT1G07670,2.8828
AT1G07590,44.509
AT1G07600,61.1905
AT1G07705,1.78778
AT1G07745,1.37986
AT1G07728,1.6202
AT1G07750,4.75105
AT1G07720,6.67605
AT1G07700,20.4137
AT1G07790,11.1487
AT1G07810,2.32536
AT1G07830,3.60355
AT1G07820,16.284
AT1G07780,3.31175
AT1G07880,1.05124
AT1G07840,2.58403
AT1G07870,1.3285
AT1G07770,85.435
AT1G07901,1.36632
AT1G07910,1.08733
AT1G07890,110.165
AT1G07920,70.8
AT1G07930,40.4855
AT1G06645,2.44132
AT1G06650,11.9213
AT1G06670,2.0618
AT1G06680,1132.99
AT1G04487,1.04903
AT1G06690,11.6845
AT1G07980,3.0999
AT1G08000,1.63647
AT1G07950,4.78115
AT1G07970,1.8668
AT1G07960,6.0716
AT1G08010,3.55622
AT1G08030,1.95287
AT1G07990,3.43235
AT1G08040,3.8862
AT1G08115,6.63143
AT1G08160,1.44148
AT1G08130,1.83933
AT1G08125,2.6574
AT1G08180,2.80697
AT1G08110,19.0451
AT1G08190,7.80687
AT1G08220,1.03782
AT1G08280,1.00341
AT1G08230,2.24977
AT1G08210,2.86357
AT1G04647,1.71556
AT1G08350,1.21619
AT1G08200,29.5625
AT1G08250,3.33635
AT1G07940,54.8088
AT1G08370,4.9387
AT1G08360,57.5405
AT1G08410,1.86026
AT1G08390,3.7783
AT1G08420,2.6492
AT1G08465,3.1925
AT1G08460,3.43032
AT1G08470,3.2095
AT1G08450,8.83425
AT1G08480,17.0131
AT1G08490,5.50512
AT1G08510,11.3394
AT1G08540,14.4317
AT1G08520,18.5293
AT1G08530,2.74188
AT1G08550,6.7535
AT1G08560,3.98165
AT1G08580,9.83558
AT1G08600,1.20954
AT1G08610,1.0893
AT1G08570,18.1438
AT1G08620,1.70747
AT1G08640,12.4953
AT1G08650,6.35583
AT1G08660,4.88713
AT1G08700,4.37305
AT1G08710,2.0477
AT1G08720,1.45925
AT1G08760,1.19911
AT1G08770,3.9886
AT1G08750,1.90868
AT1G08780,5.3567
AT1G08680,2.64088
AT1G08810,1.51153
AT1G08800,1.65109
AT1G08820,3.73457
AT1G08880,12.5313
AT1G08380,807.07
AT1G08910,2.25703
AT1G08900,2.7973
AT1G08940,1.15514
AT1G08960,1.25729
AT1G08930,2.72813
AT1G08980,2.39509
AT1G08970,7.85485
AT1G09010,4.14515
AT1G09020,3.82315
AT1G09070,13.3371
AT1G09100,2.40083
AT1G08830,79.039
AT1G08845,1.64502
AT1G09060,2.49467
AT1G09150,5.39447
AT1G09180,1.45433
AT1G09140,8.3009
AT1G09160,3.19793
AT1G09130,24.9304
AT1G09200,25.0825
AT1G09230,1.74118
AT1G09250,4.2051
AT1G09210,16.4348
AT1G09290,1.44843
AT1G09300,1.11258
AT1G09270,4.581
AT1G09280,2.00269
AT1G09310,553.695
AT1G09350,2.20949
AT1G09415,8.0076
AT1G09390,4.08975
AT1G09470,1.01012
AT1G09520,3.48793
AT1G09430,6.82533
AT1G09440,1.37403
AT1G09490,6.23225
AT1G09530,1.68572
AT1G09560,12.2569
AT1G09580,2.30344
AT1G09570,3.59832
AT1G09590,61.0295
AT1G09620,5.9741
AT1G09645,3.93383
AT1G09660,5.11782
AT1G09630,4.55635
AT1G09640,25.9657
AT1G09710,1.28671
AT1G09330,6.79307
AT1G09340,128.457
AT1G09730,1.71254
AT1G09740,3.67915
AT1G09690,85.716
AT1G09700,1.173
AT1G09794,1.11389
AT1G09750,43.1763
AT1G09760,7.00228
AT1G09770,5.34908
AT1G09780,11.9155
AT1G09812,1.2756
AT1G09810,1.30532
AT1G09815,7.73623
AT1G09830,4.95768
AT1G09795,9.86497
AT1G09800,1.21311
AT1G04733,100.742
AT1G09900,2.33906
AT1G09850,2.98698
AT1G09910,1.37901
AT1G09870,2.4514
AT1G09920,7.54945
AT1G09940,1.41703
AT1G09840,5.04685
AT1G09995,1.52067
AT1G10020,3.34388
AT1G09980,2.13148
AT1G10030,3.7235
AT1G10090,1.90783
AT1G10120,1.57458
AT1G10130,2.14617
AT1G10150,2.23588
AT1G10230,3.99898
AT1G10210,1.62774
AT1G10240,1.15124
AT1G10200,7.27405
AT1G10270,1.28646
AT1G10170,2.29671
AT1G10180,1.90176
AT1G10310,4.70865
AT1G10350,1.55257
AT1G10290,4.6802
AT1G10320,1.63975
AT1G10380,1.17027
AT1G10410,1.99527
AT1G10360,21.8877
AT1G10370,35.3638
AT1G10430,4.20567
AT1G10450,1.12526
AT1G10390,4.15365
AT1G10510,4.459
AT1G10470,22.602
AT1G10490,1.54161
AT1G10500,19.923
AT1G10522,5.64478
AT1G10570,1.99802
AT1G10580,3.2353
AT1G10600,2.9917
AT1G10610,1.52249
AT1G10590,22.2095
AT1G10650,3.5487
AT1G10657,3.77398
AT1G10630,10.0533
AT1G10640,3.89655
AT1G10660,4.86295
AT1G10690,1.32049
AT1G10682,11.9667
AT1G10720,2.91832
AT1G10700,3.82745
AT1G10820,2.54497
AT1G10730,1.00771
AT1G10740,5.09513
AT1G10830,5.326
AT1G10760,2.98373
AT1G10670,21.8045
AT1G10870,2.12001
AT1G10840,12.4076
AT1G10865,5.47192
AT1G10850,3.28607
AT1G10890,6.88485
AT1G10900,4.91985
AT1G10910,3.07402
AT1G10920,1.10335
AT1G10940,8.93845
AT1G10970,1.2477
AT1G10990,1.61734
AT1G11020,2.07121
AT1G11000,1.05266
AT1G11060,1.0385
AT1G04833,1.6341
AT1G11120,1.26555
AT1G11080,2.03283
AT1G11090,3.05627
AT1G11175,2.78665
AT1G11130,1.89651
AT1G11180,1.96383
AT1G11200,2.205
AT1G11240,2.71234
AT1G11260,2.53129
AT1G11280,2.54345
AT1G10950,7.947
AT1G10960,210.428
AT1G11350,2.48958
AT1G11330,2.93998
AT1G11310,5.89353
AT1G11360,3.45772
AT1G11380,1.23192
AT1G11390,1.26653
AT1G11430,26.4922
AT1G11440,2.88315
AT1G11530,4.44545
AT1G11545,6.10398
AT1G11475,10.6769
AT1G11480,4.2315
AT1G11600,1.49938
AT1G11592,1.66509
AT1G11630,1.49255
AT1G11580,9.39515
AT1G11400,3.5204
AT1G11410,3.0355
AT1G11670,1.22992
AT1G11660,2.47774
AT1G11680,10.992
AT1G11700,11.3921
AT1G11735,9.44422
AT1G11650,28.9545
AT1G11720,3.57872
AT1G11760,1.89511
AT1G11780,1.52119
AT1G11790,3.85752
AT1G11800,1.21207
AT1G11750,20.1335
AT1G11755,1.75526
AT1G11820,8.5928
AT1G11850,18.8851
