"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AverageFPKM"
"1","gene-atpI",1465.69310228434,8.7296626459996,1.30156412781415,6.70705534936662,1.98590952890915e-11,3.35059044972954e-08,1.47412
"2","gene-ndhA",711.541545712438,7.09986752149543,1.22709812411321,5.78590039539527,7.21249437240512e-09,6.37412776464127e-06,1.01292
"3","gene-ndhD",133.446388038527,10.3018413506172,2.33593434712197,4.41015877150389,1.03294855766898e-05,0.00191704922817787,1.2847
"4","gene-psaA",235.781406497191,6.35229195673405,1.40170023098463,4.53184769205028,5.84700021205691e-06,0.00129183901113767,2.26895
"5","gene-psbA",514.210921145786,6.4774427703974,1.34794654910987,4.80541515142039,1.54430721195963e-06,0.000440935346873213,17.7434
"6","gene-psbB",3352.91509332918,6.52706360702761,1.16822874340562,5.58714519213069,2.30832728157906e-08,1.64770176995484e-05,3.43783
"7","gene-psbC",272.182679125084,7.88507204351148,1.76347751188181,4.47131987245889,7.773832132904e-06,0.00158543462147874,7.12937
"8","gene-psbD",49.5910415511046,8.87452652537567,2.57927126559096,3.4407108099746,0.000580188275978968,0.041897720676629,10.2792
"9","gene-psbK",128.608546287391,6.21460351676114,1.49680758759181,4.15190540740091,3.29718550243957e-05,0.00504855761638405,5.1426
"10","Os01g0135700",953.734517124681,4.11351420908175,0.895436881798008,4.59386283131642,4.3511544839145e-06,0.00103529584701243,1.18065
"11","Os01g0194000",2366.5291790698,3.05212865208264,0.867803053546093,3.51707526219315,0.000436330044083204,0.0331879069186073,2.68844
"12","Os01g0256500",13063.3779636515,3.36282865406166,0.754459086978146,4.4572710596288,8.30096137799487e-06,0.00165653271198072,28.836
"13","Os01g0323600",363.88984181182,3.59393711247896,0.943358012635127,3.80972765836784,0.000139119952819877,0.0145871593468028,28.7875
"14","Os01g0384800",1074.44175653719,4.67895928581316,1.08092924476814,4.32864529150269,1.50029342746724e-05,0.00267923319533011,1.18318
"15","Os01g0582600",3260.78586090591,3.76907982674183,1.10783729102639,3.40219620450748,0.000668466282385965,0.0462912900552281,1.95089
"16","Os01g0619900",998.942005388047,-3.94688420039792,0.936742908451882,-4.21341241528135,2.51541155192346e-05,0.00402444163725409,13.2438
"17","Os01g0631200",3305.98008805238,3.76418662607978,1.11380439206287,3.37957603049863,0.000725977243576583,0.0486404753196311,2.57696
"18","Os01g0791033",270.185105613293,7.28853166932169,1.36393019717813,5.34377175928881,9.10321806615923e-08,4.08694121012402e-05,3.55773
"19","Os01g0908200",6319.36706892238,3.70264616931791,0.845820124900704,4.37758107227892,1.20003728772337e-05,0.00218347961008411,4.96275
"20","Os01g0934100",2808.28828534935,4.4978882109921,1.00981264615866,4.4541809097976,8.42140710582578e-06,0.00166269036677681,1.61282
"21","Os01g0949300",868.000298530412,3.31241284134306,0.911987945272676,3.6320796327551,0.000281146328235554,0.0239348380996497,1.59918
"22","Os02g0181300",6511.98841604116,6.38463154759684,0.888670842605518,7.18447285710148,6.74669831778998e-13,2.0868662346644e-09,1.33716
"23","Os02g0526400",17849.0326927279,7.50982808276052,1.879159301023,3.99637650659645,6.43194100873219e-05,0.00840636571697611,1.02989
"24","Os02g0527200",1214.1662567793,4.00325337459886,1.07106030959936,3.73765448940621,0.000185744958935127,0.0177325604418057,1.52091
"25","Os02g0527300",18051.0084696186,5.99097605846054,1.5693638461571,3.8174551256107,0.000134835301713626,0.0143913493765372,2.39843
"26","Os02g0572400",7116.50281453091,3.02458936571257,0.884547192243056,3.41936461077079,0.000627675592368983,0.0444619515983815,7.66523
"27","Os02g0575000",760.683427246016,3.10507497559792,0.848368826925736,3.66005312435853,0.000252162963656602,0.022021400849014,3.2056
"28","Os02g0605900",6116.64695036132,5.99424728074006,1.53046205912598,3.91662586144949,8.97969441647781e-05,0.0106270754006702,2.14356
"29","Os02g0625300",1600.09809171941,4.12022701352462,1.01972994423363,4.04050801569932,5.33355419749871e-05,0.00722521404024661,1.49587
"30","Os02g0661100",1285.92321832514,4.0876828088521,1.14361798682128,3.57434288019021,0.000351108574545059,0.0280871725645765,1.07383
"31","Os02g0673500",900.915928979102,2.85503022774037,0.79393274866474,3.59606053855575,0.000323072644788877,0.0267674339939141,1.10577
"32","Os02g0703600",786.21109601426,9.41636718791493,1.59546693576732,5.90195069344151,3.59228536315748e-09,3.70384578082442e-06,1.04215
"33","Os02g0739400",1326.29907724335,3.64974042797733,1.07931425363439,3.38153639284158,0.000720816840092463,0.0484697091857827,1.46046
"34","Os02g0756800",228.16595536924,8.63060387843748,1.72477115394801,5.00391246611585,5.61782744163064e-07,0.000189565926344042,2.37895
