GeneID,AverageFPKM
gene:Os01g0100100,2.64073
gene:Os01g0100500,2.80445
gene:Os01g0100700,4.24008
gene:Os01g0100600,2.50949
gene:Os01g0100650,2.13976
gene:Os01g0100800,1.95382
gene:Os01g0100900,4.55368
gene:Os01g0101200,20.4144
gene:Os01g0101300,1.57373
gene:Os01g0101700,15.9795
gene:Os01g0101600,7.39222
gene:Os01g0101800,1.35476
gene:Os01g0102300,8.1309
gene:Os01g0102500,2.10874
gene:Os01g0102700,5.86735
gene:Os01g0102850,1.04252
gene:Os01g0102600,29.034
gene:Os01g0103800,2.08126
gene:Os01g0103600,2.71455
gene:Os01g0104000,1.94773
gene:Os01g0102900,129.333
gene:Os01g0104350,1.68462
gene:Os01g0104100,20.229
gene:Os01g0105800,1.10585
gene:Os01g0105400,1.14464
gene:Os01g0106500,1.14308
gene:Os01g0105900,6.11545
gene:Os01g0106200,4.40905
gene:Os01g0104600,8.96022
gene:Os01g0104400,36.076
gene:Os01g0106800,8.64208
gene:Os01g0107400,1.01011
gene:Os01g0107000,3.92433
gene:Os01g0108000,2.18994
gene:Os01g0108200,2.35319
gene:Os01g0108400,3.80615
gene:Os01g0108500,1.04313
gene:Os01g0107900,15.1283
gene:Os01g0108800,1.39948
gene:Os01g0109000,3.79793
gene:Os01g0108600,13.0276
gene:Os01g0109300,8.4772
gene:Os01g0109750,2.77615
gene:Os01g0106900,60.0968
gene:Os01g0110200,1.57925
gene:Os01g0110400,4.63077
gene:Os01g0109700,8.80438
gene:Os01g0111100,9.57672
gene:Os01g0111300,1.99111
gene:Os01g0111800,1.93127
gene:Os01g0111400,1.35906
gene:Os01g0111900,5.132
gene:Os01g0111200,7.05157
gene:Os01g0112300,1.0439
gene:Os01g0112500,8.2902
gene:Os01g0113900,2.22788
gene:Os01g0113500,1.01657
gene:Os01g0114100,1.9369
gene:Os01g0114300,2.53179
gene:Os01g0115300,1.17212
gene:Os01g0115750,1.40106
gene:Os01g0115800,1.5214
gene:Os01g0115900,1.57755
gene:Os01g0116400,3.0479
gene:Os01g0117100,1.59356
