GeneID,AverageFPKM
Os01g0100100,2.64073
Os01g0100500,2.80445
Os01g0100700,4.24008
Os01g0100600,2.50949
Os01g0100650,2.13976
Os01g0100800,1.95382
Os01g0100900,4.55368
Os01g0101200,20.4144
Os01g0101300,1.57373
Os01g0101700,15.9795
Os01g0101600,7.39222
Os01g0101800,1.35476
Os01g0102300,8.1309
Os01g0102500,2.10874
Os01g0102700,5.86735
Os01g0102850,1.04252
Os01g0102600,29.034
Os01g0103800,2.08126
Os01g0103600,2.71455
Os01g0104000,1.94773
Os01g0102900,129.333
Os01g0104350,1.68462
Os01g0104100,20.229
Os01g0105800,1.10585
Os01g0105400,1.14464
Os01g0106500,1.14308
Os01g0105900,6.11545
Os01g0106200,4.40905
Os01g0104600,8.96022
Os01g0104400,36.076
Os01g0106800,8.64208
Os01g0107400,1.01011
Os01g0107000,3.92433
Os01g0108000,2.18994
Os01g0108200,2.35319
Os01g0108400,3.80615
Os01g0108500,1.04313
Os01g0107900,15.1283
Os01g0108800,1.39948
Os01g0109000,3.79793
Os01g0108600,13.0276
Os01g0109300,8.4772
Os01g0109750,2.77615
Os01g0106900,60.0968
Os01g0110200,1.57925
Os01g0110400,4.63077
Os01g0109700,8.80438
Os01g0111100,9.57672
Os01g0111300,1.99111
Os01g0111800,1.93127
Os01g0111400,1.35906
Os01g0111900,5.132
Os01g0111200,7.05157
Os01g0112300,1.0439
Os01g0112500,8.2902
Os01g0113900,2.22788
Os01g0113500,1.01657
Os01g0114100,1.9369
Os01g0114300,2.53179
Os01g0115300,1.17212
Os01g0115750,1.40106
Os01g0115800,1.5214
Os01g0115900,1.57755
Os01g0116400,3.0479
Os01g0117100,1.59356
Os01g0116900,3.21143
Os01g0116600,3.30722
Os01g0118000,2.71777
Os01g0118400,1.92484
Os01g0117900,14.5457
Os01g0119050,2.73829
Os01g0118700,1.40836
Os01g0119100,1.91606
Os01g0118100,4.2549
Os01g0119500,2.32137
Os01g0120400,1.70712
Os01g0120300,5.34152
Os01g0120600,1.28944
Os01g0120700,4.45597
Os01g0120500,26.4555
Os01g0121300,1.75385
Os01g0121100,7.5705
Os01g0120800,6.5057
Os01g0121800,2.1888
Os01g0122000,1.14305
Os01g0123700,1.521
Os01g0121700,6.13445
Os01g0124000,16.6471
Os01g0123900,65.4805
Os01g0124200,11.7525
Os01g0124650,1.61442
Os01g0125800,1.18574
Os01g0125900,2.81813
Os01g0127300,2.34885
Os01g0127600,1.73428
Os01g0126200,5.50335
Os01g0128200,1.6464
Os01g0128400,4.4475
Os01g0130200,1.11379
Os01g0130000,2.37463
Os01g0128800,9.6248
Os01g0131300,18.1225
Os01g0131800,1.57466
Os01g0132000,5.5877
Os01g0132700,1.91836
Os01g0132800,2.0963
Os01g0131600,10.0979
Os01g0131450,7.4035
Os01g0133400,3.34235
Os01g0133500,3.545
Os01g0134500,5.0771
Os01g0135700,1.18065
Os01g0135900,14.7858
Os01g0136400,2.27614
Os01g0136500,1.61989
Os01g0140500,3.5024
Os01g0138900,14.4967
Os01g0139200,5.79122
Os01g0141900,1.00856
Os01g0141600,4.79135
Os01g0141100,14.527
Os01g0142200,1.6998
Os01g0142500,3.27755
Os01g0143100,1.92931
Os01g0142300,4.78927
Os01g0142100,14.6997
Os01g0143800,2.9596
Os01g0142800,1.98432
Os01g0143900,4.69588
Os01g0144000,3.74372
Os01g0144200,3.09885
Os01g0144100,16.3176
Os01g0144700,1.08931
Os01g0144340,1.66
Os01g0144600,4.06407
Os01g0147200,6.96723
Os01g0148000,3.36805
Os01g0148100,2.0978
Os01g0148400,3.08438
Os01g0148500,2.23197
Os01g0148050,7.5325
Os01g0149400,3.69235
Os01g0148700,1.58814
Os01g0149600,2.28981
Os01g0147900,159.003
Os01g0149900,1.59096
Os01g0150100,1.12825
Os01g0150200,1.9784
Os01g0151100,2.91578
Os01g0150000,16.1971
Os01g0149800,158.24
Os01g0151400,1.35501
Os01g0151600,1.44205
Os01g0152300,2.408
Os01g0152700,2.67726
Os01g0152900,6.8054
Os01g0151700,19.5459
Os01g0151750,1.45964
Os01g0153100,15.1901
Os01g0153300,19.1893
Os01g0153400,3.91015
Os01g0155400,3.6084
Os01g0155500,1.0514
Os01g0155800,5.08475
Os01g0155600,6.93975
Os01g0157900,2.10669
Os01g0158100,1.12922
Os01g0158000,1.59735
Os01g0158400,2.22262
Os01g0158200,4.27818
Os01g0158900,1.6946
Os01g0151200,75.7802
Os01g0159300,4.90738
Os01g0159400,2.41937
Os01g0162200,1.32394
Os01g0161300,1.09297
Os01g0162300,3.19715
Os01g0164400,2.84008
Os01g0164500,1.24646
Os01g0164700,1.52878
Os01g0166100,3.67745
Os01g0166800,1.24264
Os01g0167100,1.05663
Os01g0167400,1.14838
Os01g0166700,9.40355
Os01g0164600,34.5288
Os01g0167500,7.51237
Os01g0168200,2.22517
Os01g0168300,1.43989
Os01g0168100,6.4854
Os01g0168400,1.88739
Os01g0168500,3.31252
Os01g0168600,1.49344
Os01g0169800,1.06111
Os01g0169900,4.04968
Os01g0169500,2.56759
Os01g0170100,1.50825
Os01g0170000,3.02752
Os01g0170051,3.07218
Os01g0170600,1.94237
Os01g0171000,2.12475
Os01g0171800,7.51237
Os01g0172000,1.96559
Os01g0172200,1.21401
Os01g0172100,5.70245
Os01g0172300,3.0453
Os01g0172800,3.93993
Os01g0172600,3.0496
Os01g0173000,1.51601
Os01g0173100,7.08605
Os01g0174000,2.10452
Os01g0174100,2.28958
Os01g0173900,2.9449
Os01g0174900,1.40626
Os01g0172400,29.6105
Os01g0175000,12.4411
Os01g0176400,1.06511
Os01g0177200,2.69225
Os01g0175700,15.7249
Os01g0178000,4.41335
Os01g0178100,2.76437
Os01g0178400,1.4197
Os01g0178500,5.34363
Os01g0179200,2.72091
Os01g0179300,9.82385
Os01g0179400,1.56941
Os01g0179500,3.64637
Os01g0179600,10.881
Os01g0179700,4.72853
Os01g0180500,4.41705
Os01g0180300,3.83405
Os01g0179800,26.0285
Os01g0181000,1.48378
Os01g0182500,1.02241
Os01g0182200,5.03555
Os01g0180800,27.4535
Os01g0182900,4.58558
Os01g0183633,2.17491
Os01g0183800,3.73462
Os01g0184100,3.21327
Os01g0184200,1.03002
Os01g0184500,1.90062
Os01g0184800,2.01664
Os01g0185500,1.23993
Os01g0185300,3.0435
Os01g0185200,5.17375
Os01g0185400,2.30846
Os01g0184900,7.36728
Os01g0186200,2.24665
Os01g0186700,4.41467
Os01g0187900,1.5919
Os01g0187500,3.75922
Os01g0187400,3.87407
Os01g0188100,8.7446
Os01g0188200,1.37238
Os01g0182600,35.6553
Os01g0189800,2.28213
Os01g0190000,3.7978
Os01g0190300,3.26975
Os01g0191100,8.09597
Os01g0191300,2.32265
Os01g0188400,44.4607
Os01g0191500,7.25165
Os01g0191200,35.613
Os01g0191900,1.44809
Os01g0192000,1.05244
Os01g0192600,1.2427
Os01g0192300,8.9769
Os01g0191700,18.965
Os01g0193400,1.28936
Os01g0194000,2.68844
Os01g0195400,2.14443
Os01g0196500,1.35817
Os01g0195500,6.05585
Os01g0197100,1.38826
Os01g0197200,2.3679
Os01g0197400,4.63875
Os01g0198900,16.0004
Os01g0198200,13.9743
Os01g0199900,1.07997
Os01g0199400,9.77983
Os01g0199550,1.26792
Os01g0200000,4.41237
Os01g0200300,1.49382
Os01g0200950,1.51541
Os01g0201000,4.8774
Os01g0201200,11.3575
Os01g0201900,2.14451
Os01g0203000,3.00705
Os01g0205100,1.34819
Os01g0205200,1.30547
Os01g0203800,2.33883
Os01g0205300,7.9684
Os01g0205500,5.64002
Os01g0205700,3.13963
Os01g0207400,5.02018
Os01g0208600,4.64618
Os01g0209400,1.80537
Os01g0209000,2.50385
Os01g0210500,9.08605
Os01g0210550,1.51479
Os01g0206700,50.5677
Os01g0208700,15.311
Os01g0210600,23.6939
Os01g0210700,1.9943
Os01g0212400,1.20786
Os01g0212100,1.23202
Os01g0214300,3.67215
Os01g0214600,1.3855
Os01g0214400,4.27858
Os01g0214800,7.47002
Os01g0217800,1.24006
Os01g0218032,5.17335
Os01g0218900,1.55787
Os01g0218800,2.4104
Os01g0220300,1.88774
Os01g0220200,4.29025
Os01g0220400,1.39729
Os01g0218700,28.257
Os01g0220700,3.14675
Os01g0221000,1.21797
Os01g0221400,2.12345
Os01g0221500,6.5218
Os01g0221600,5.5948
Os01g0221700,3.55863
Os01g0221800,14.7364
Os01g0222700,1.21105
Os01g0222600,40.2398
Os01g0223200,6.8942
Os01g0223600,2.26069
Os01g0223700,1.9543
Os01g0224400,1.10533
Os01g0224500,5.28092
Os01g0225400,2.29877
Os01g0225300,2.02747
Os01g0225100,5.2672
Os01g0226300,1.22233
Os01g0226500,1.3473
Os01g0227100,15.1989
Os01g0227200,5.37967
Os01g0227300,10.5751
Os01g0227400,3.24405
Os01g0227800,3.50813
Os01g0228300,3.89633
Os01g0228800,1.05978
Os01g0228400,14.9525
Os01g0229100,2.31012
Os01g0228600,17.3656
Os01g0229400,1.06488
Os01g0229600,3.69303
Os01g0229200,11.7453
Os01g0231700,2.15735
Os01g0231800,1.47875
Os01g0231000,12.4451
Os01g0231500,4.98343
Os01g0231900,3.42733
Os01g0232000,1.27002
Os01g0232300,1.04045
Os01g0232500,2.6546
Os01g0232700,4.21453
Os01g0232400,4.87638
Os01g0232800,4.34417
Os01g0234900,2.68288
Os01g0234800,2.90735
Os01g0233000,26.2065
Os01g0235200,1.51504
Os01g0235350,1.21863
Os01g0235300,2.2141
Os01g0235400,1.17352
Os01g0235100,46.7945
Os01g0235800,3.12858
Os01g0235700,4.01155
Os01g0235900,22.5189
Os01g0236800,2.9972
Os01g0237100,5.60428
Os01g0238200,4.61763
Os01g0236700,30.3373
Os01g0200700,4023.88
Os01g0238600,2.57693
Os01g0238900,2.17556
Os01g0239000,12.4301
Os01g0238500,157.731
Os01g0242300,2.38773
Os01g0242500,2.21945
Os01g0239700,5.68015
Os01g0243100,1.48134
Os01g0242900,3.11183
Os01g0242600,3.42097
Os01g0243400,1.30409
Os01g0243450,1.21206
Os01g0243200,1.26555
Os01g0246100,2.8276
Os01g0247600,1.91888
Os01g0246400,8.38203
Os01g0247500,1.22067
Os01g0248600,1.7084
Os01g0249200,3.2434
Os01g0248400,4.139
Os01g0248500,1.0336
Os01g0250600,2.69327
Os01g0249300,18.7463
Os01g0251000,1.15143
Os01g0250900,5.5375
Os01g0251200,2.41629
Os01g0239100,4.1318
Os01g0239200,114.654
Os01g0252600,2.5047
Os01g0252900,1.23725
Os01g0253100,4.1468
Os01g0253600,2.5438
Os01g0254000,17.2398
Os01g0253300,9.05968
Os01g0252100,24.6882
Os01g0254200,7.48747
Os01g0254100,6.65932
Os01g0256400,2.35602
Os01g0255000,8.79777
Os01g0254900,12.3916
Os01g0256600,2.53451
Os01g0257100,1.45307
Os01g0256900,4.29483
Os01g0256500,28.836
Os01g0257400,1.45896
Os01g0258700,5.99047
Os01g0259200,4.90777
Os01g0259933,1.19082
Os01g0260700,5.40623
Os01g0260800,3.47023
Os01g0259600,11.7073
Os01g0261200,3.41337
Os01g0261100,7.66312
Os01g0261500,4.9883
Os01g0262600,2.07389
Os01g0263500,1.29913
Os01g0264000,2.41912
Os01g0263900,1.63105
Os01g0264500,5.6326
Os01g0264900,1.97013
Os01g0264700,2.92988
Os01g0265100,1.34642
Os01g0265200,1.35646
Os01g0265700,1.9266
Os01g0265800,6.77195
Os01g0266200,4.17013
Os01g0266500,3.72245
Os01g0266600,3.02168
Os01g0267100,1.76119
