"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glyma.01G216000.Wm82.a4.v1",349.316940519613,11.7334206498265,2.57018449351426,4.56520560272435,4.99005029388192e-06,0.00594142919301548
"Glyma.01G225000.Wm82.a4.v1",420.231882717353,4.68126576645804,1.15671502115881,4.04703464624182,5.18705662108586e-05,0.0344481372874292
"Glyma.02G016100.Wm82.a4.v1",3913.95426812281,6.12630996689697,1.43543819566231,4.26790229311844,1.97319713175708e-05,0.0175694065983066
"Glyma.02G042700.Wm82.a4.v1",148.572913496435,6.04975565617473,1.54170829586806,3.92405987072178,8.7069081928355e-05,0.0451630028607217
"Glyma.02G042800.Wm82.a4.v1",283.557486414221,8.98914001360383,1.77267726761497,5.07093997188679,3.95855628920202e-07,0.000804029353587392
"Glyma.02G132500.Wm82.a4.v1",196.387847554848,10.9024090151809,2.52300384840407,4.32120189673008,1.55181599765954e-05,0.0149262692538932
"Glyma.03G145600.Wm82.a4.v1",57.3831859027711,-4.81833042041589,1.22553361252793,-3.93161833438172,8.43759462003112e-05,0.0451630028607217
"Glyma.03G173300.Wm82.a4.v1",748.383048870678,6.47791967997513,1.06451660576593,6.08531576199714,1.16261947660221e-09,1.31599838135464e-05
"Glyma.03G201000.Wm82.a4.v1",3578.0303329677,6.26634959435522,1.17624233005027,5.3274307804306,9.96117210176598e-08,0.000343949311501878
"Glyma.03G201200.Wm82.a4.v1",168.202882104284,8.23577629333744,2.04166830108109,4.03384638385016,5.48711966986767e-05,0.0344481372874292
"Glyma.03G201500.Wm82.a4.v1",341.964565862746,7.67331669444292,1.57554457509663,4.87026315581856,1.11449718233573e-06,0.00185940929381679
"Glyma.03G201550.Wm82.a4.v1",292.901267665719,6.70998675365465,1.31316962139803,5.10976392106228,3.22561611643493e-07,0.000696108118027385
"Glyma.04G100300.Wm82.a4.v1",1442.32895066997,6.00737144048864,1.14618088388071,5.24120714712065,1.59529504255506e-07,0.000459032854369863
"Glyma.04G136200.Wm82.a4.v1",718.008825855447,7.00494995893534,1.19726078017477,5.85081385353057,4.89173453682095e-09,2.11133377277363e-05
"Glyma.04G136600.Wm82.a4.v1",1151.75615890936,8.2033583737062,1.39935745732859,5.86223222004092,4.56685726444788e-09,2.11133377277363e-05
"Glyma.04G178500.Wm82.a4.v1",2232.90587603677,5.63585380805067,1.35635543342756,4.15514522901174,3.25080991419036e-05,0.0255107308016088
"Glyma.05G082400.Wm82.a4.v1",604.245534027207,7.4941432179507,1.79186304181599,4.18231920803257,2.88550452992149e-05,0.0231706013752695
"Glyma.05G124900.Wm82.a4.v1",545.274281480875,8.93266452806798,2.26044989456864,3.95171976584448,7.75915708109807e-05,0.0425263388655929
"Glyma.06G114300.Wm82.a4.v1",528.298785701926,9.88753336970977,2.35224101186468,4.20345250330945,2.62874332181991e-05,0.022138506868078
"Glyma.06G171150.Wm82.a4.v1",89.6946726230659,9.7728215277241,2.46360324974017,3.96688124549065,7.28192524449705e-05,0.0416519873209536
"Glyma.06G290100.Wm82.a4.v1",20.9036174963801,19.533659508612,3.25254587244783,6.00565227198815,1.90564218679174e-09,1.31599838135464e-05
"Glyma.07G076600.Wm82.a4.v1",1290.04976572181,6.92400351928655,1.41139588445584,4.90578412162233,9.30548295600876e-07,0.0016911001104633
"Glyma.07G178100.Wm82.a4.v1",23.546603616612,19.690720252832,3.2292491195532,6.09761573785189,1.07662166217328e-09,1.31599838135464e-05
"Glyma.07G212400.Wm82.a4.v1",503.507728539336,8.2318039282031,1.83344615032335,4.48979858325881,7.12905521830615e-06,0.0079406176655772
"Glyma.08G145300.Wm82.a4.v1",252.930045454555,7.82307206828516,1.99520391494499,3.92093861168113,8.82047329529885e-05,0.0451630028607217
"Glyma.08G260500.Wm82.a4.v1",1224.18003163616,4.85491011314334,1.18223376045575,4.10655682110767,4.01600704276768e-05,0.0295039802510054
"Glyma.09G058900.Wm82.a4.v1",217.833657575107,6.6045836287926,1.66446737172452,3.96798624051711,7.2482517692186e-05,0.0416519873209536
"Glyma.09G147200.Wm82.a4.v1",783.213963317451,8.86985245158053,1.87833918793457,4.72217824584379,2.3333204609664e-06,0.00312997523934144
