GeneID,AverageFPKM
Glyma.01G000400.Wm82.a4.v1,1.1641
Glyma.01G000600.Wm82.a4.v1,1.03884
Glyma.01G000900.Wm82.a4.v1,1.34958
Glyma.01G001000.Wm82.a4.v1,2.94225
Glyma.01G001100.Wm82.a4.v1,3.96813
Glyma.01G002000.Wm82.a4.v1,6.16688
Glyma.01G001700.Wm82.a4.v1,1.54503
Glyma.01G002400.Wm82.a4.v1,2.05263
Glyma.01G002700.Wm82.a4.v1,3.373
Glyma.01G003000.Wm82.a4.v1,3.2988
Glyma.01G003100.Wm82.a4.v1,1.75072
Glyma.01G003700.Wm82.a4.v1,2.9983
Glyma.01G003800.Wm82.a4.v1,2.43225
Glyma.01G004100.Wm82.a4.v1,1.15521
Glyma.01G001300.Wm82.a4.v1,13.6097
Glyma.01G004300.Wm82.a4.v1,21.1278
Glyma.01G005300.Wm82.a4.v1,4.12265
Glyma.01G002100.Wm82.a4.v1,4.4228
Glyma.01G006000.Wm82.a4.v1,1.27976
Glyma.01G004500.Wm82.a4.v1,8.73485
Glyma.01G004200.Wm82.a4.v1,54.2142
Glyma.01G006200.Wm82.a4.v1,3.647
Glyma.01G005400.Wm82.a4.v1,8.91135
Glyma.01G006100.Wm82.a4.v1,3.12792
Glyma.01G006400.Wm82.a4.v1,3.08058
Glyma.01G006700.Wm82.a4.v1,3.23433
Glyma.01G006900.Wm82.a4.v1,10.446
Glyma.01G007700.Wm82.a4.v1,1.34451
Glyma.01G008000.Wm82.a4.v1,1.09606
Glyma.01G007200.Wm82.a4.v1,1.91995
Glyma.01G007400.Wm82.a4.v1,1.62237
Glyma.01G008400.Wm82.a4.v1,1.40214
Glyma.01G008800.Wm82.a4.v1,4.78662
Glyma.01G008600.Wm82.a4.v1,3.50988
Glyma.01G008900.Wm82.a4.v1,1.48105
Glyma.01G008500.Wm82.a4.v1,10.8787
Glyma.01G009500.Wm82.a4.v1,1.41122
Glyma.01G009800.Wm82.a4.v1,3.20463
Glyma.01G009300.Wm82.a4.v1,5.4088
