Sample,Condition,Time,Group,Batch
b1_Maize_cold_05h,cold,05h,cold-05h,b1
b1_Maize_cold_16h,cold,16h,cold-16h,b1
b1_Maize_cold_1h,cold,1h,cold-1h,b1
b1_Maize_cold_24h,cold,24h,cold-24h,b1
b1_Maize_cold_3h,cold,3h,cold-3h,b1
b1_Maize_cold_6h,cold,6h,cold-6h,b1
b1_Maize_control_05h,control,05h,control-05h,b1
b1_Maize_control_16h,control,16h,control-16h,b1
b1_Maize_control_1h,control,1h,control-1h,b1
b1_Maize_control_24h,control,24h,control-24h,b1
b1_Maize_control_3h,control,3h,control-3h,b1
b1_Maize_control_6h,control,6h,control-6h,b1
b2_Maize_cold_16h,cold,16h,cold-16h,b2
b2_Maize_cold_1h,cold,1h,cold-1h,b2
b2_Maize_cold_24h,cold,24h,cold-24h,b2
b2_Maize_cold_3h,cold,3h,cold-3h,b2
b2_Maize_cold_6h,cold,6h,cold-6h,b2
b2_Maize_control_05h,control,05h,control-05h,b2
b2_Maize_control_16h,control,16h,control-16h,b2
b2_Maize_control_1h,control,1h,control-1h,b2
b2_Maize_control_24h,control,24h,control-24h,b2
b2_Maize_control_3h,control,3h,control-3h,b2
b2_Maize_control_6h,control,6h,control-6h,b2
b3_Maize_cold_05h,cold,05h,cold-05h,b3
b3_Maize_cold_16h,cold,16h,cold-16h,b3
b3_Maize_cold_1h,cold,1h,cold-1h,b3
b3_Maize_cold_24h,cold,24h,cold-24h,b3
b3_Maize_cold_3h,cold,3h,cold-3h,b3
b3_Maize_cold_6h,cold,6h,cold-6h,b3
b3_Maize_control_05h,control,05h,control-05h,b3
b3_Maize_control_16h,control,16h,control-16h,b3
b3_Maize_control_1h,control,1h,control-1h,b3
b3_Maize_control_24h,control,24h,control-24h,b3
b3_Maize_control_3h,control,3h,control-3h,b3
b3_Maize_control_6h,control,6h,control-6h,b3
b2_Maize_cold_05h,cold,05h,cold-05h,b2
