GeneID,AverageFPKM
Glyma.01G000400.Wm82.a4.v1,1.28712
Glyma.01G000600.Wm82.a4.v1,1.0072
Glyma.01G000900.Wm82.a4.v1,1.04246
Glyma.01G001000.Wm82.a4.v1,2.69607
Glyma.01G001100.Wm82.a4.v1,4.22197
Glyma.01G002000.Wm82.a4.v1,7.17908
Glyma.01G001700.Wm82.a4.v1,1.49479
Glyma.01G002400.Wm82.a4.v1,2.03053
Glyma.01G002700.Wm82.a4.v1,3.98565
Glyma.01G003000.Wm82.a4.v1,3.46022
Glyma.01G003100.Wm82.a4.v1,1.53127
Glyma.01G003700.Wm82.a4.v1,1.96352
Glyma.01G003800.Wm82.a4.v1,2.01652
Glyma.01G002100.Wm82.a4.v1,3.2929
Glyma.01G001300.Wm82.a4.v1,11.8859
Glyma.01G004300.Wm82.a4.v1,16.6446
Glyma.01G005300.Wm82.a4.v1,3.4726
Glyma.01G004200.Wm82.a4.v1,32.8008
Glyma.01G004500.Wm82.a4.v1,7.71068
Glyma.01G006000.Wm82.a4.v1,2.21163
Glyma.01G005400.Wm82.a4.v1,9.36195
Glyma.01G006200.Wm82.a4.v1,3.82748
Glyma.01G006100.Wm82.a4.v1,4.11745
Glyma.01G006400.Wm82.a4.v1,2.28114
Glyma.01G006900.Wm82.a4.v1,9.63935
Glyma.01G006700.Wm82.a4.v1,3.46393
Glyma.01G007200.Wm82.a4.v1,1.74134
Glyma.01G007400.Wm82.a4.v1,1.0637
Glyma.01G008400.Wm82.a4.v1,1.06089
Glyma.01G008800.Wm82.a4.v1,4.18405
Glyma.01G008600.Wm82.a4.v1,2.90287
Glyma.01G008900.Wm82.a4.v1,1.07442
Glyma.01G008500.Wm82.a4.v1,10.0534
Glyma.01G009500.Wm82.a4.v1,1.04223
Glyma.01G009800.Wm82.a4.v1,2.82558
Glyma.01G009300.Wm82.a4.v1,4.3932
Glyma.01G009900.Wm82.a4.v1,3.6305
Glyma.01G010100.Wm82.a4.v1,1.04637
Glyma.01G009200.Wm82.a4.v1,71.824
Glyma.01G010300.Wm82.a4.v1,5.94733
Glyma.01G010400.Wm82.a4.v1,2.5885
Glyma.01G010600.Wm82.a4.v1,12.4958
Glyma.01G010900.Wm82.a4.v1,3.6494
Glyma.01G011100.Wm82.a4.v1,4.131
Glyma.01G011200.Wm82.a4.v1,1.46041
Glyma.01G011300.Wm82.a4.v1,4.56382
Glyma.01G012400.Wm82.a4.v1,3.09278
Glyma.01G012500.Wm82.a4.v1,4.51773
Glyma.01G012700.Wm82.a4.v1,2.04272
Glyma.01G013500.Wm82.a4.v1,1.83398
Glyma.01G013600.Wm82.a4.v1,1.75168
Glyma.01G013900.Wm82.a4.v1,4.02735
Glyma.01G014200.Wm82.a4.v1,1.12275
Glyma.01G014500.Wm82.a4.v1,1.45537
