GeneID,AverageFPKM
gene:Os01g0100100,2.59845
gene:Os01g0100500,2.74147
gene:Os01g0100600,2.57515
gene:Os01g0100650,3.4509
gene:Os01g0100700,8.29537
gene:Os01g0100800,2.2564
gene:Os01g0100900,5.97425
gene:Os01g0101200,24.2123
gene:Os01g0101300,1.42453
gene:Os01g0101700,17.4575
gene:Os01g0101800,1.34842
gene:Os01g0101600,8.00625
gene:Os01g0102300,7.37523
gene:Os01g0102500,1.71418
gene:Os01g0102850,1.12432
gene:Os01g0102700,7.23765
gene:Os01g0102600,27.1758
gene:Os01g0103600,3.37248
gene:Os01g0103800,2.49462
gene:Os01g0104000,2.57677
gene:Os01g0104350,2.52936
gene:Os01g0102900,201.113
gene:Os01g0104100,15.4649
gene:Os01g0104800,2.06106
gene:Os01g0105400,1.28021
gene:Os01g0104600,6.78413
gene:Os01g0105900,6.16918
gene:Os01g0106500,1.94415
gene:Os01g0106200,5.6988
gene:Os01g0104400,48.2145
gene:Os01g0106800,11.3834
gene:Os01g0107400,1.23802
gene:Os01g0107000,4.26997
gene:Os01g0108000,2.32472
gene:Os01g0108200,2.42376
gene:Os01g0107900,17.7974
gene:Os01g0108600,9.07055
gene:Os01g0109000,4.14385
gene:Os01g0106900,54.9387
gene:Os01g0109300,8.3943
gene:Os01g0109750,4.17558
gene:Os01g0110100,1.00062
gene:Os01g0110400,3.92115
gene:Os01g0109700,8.69
gene:Os01g0111100,13.6458
gene:Os01g0111300,1.70979
gene:Os01g0111800,3.20717
gene:Os01g0111400,1.55981
gene:Os01g0111900,4.3483
gene:Os01g0111200,7.39823
gene:Os01g0112300,1.56767
gene:Os01g0112500,9.44932
gene:Os01g0113900,1.24506
gene:Os01g0114100,1.32523
gene:Os01g0113350,1.07663
gene:Os01g0113500,1.4572
gene:Os01g0113400,1.20023
gene:Os01g0114300,2.01591
gene:Os01g0115300,1.34958
gene:Os01g0115566,1.11527
gene:Os01g0115750,1.15002
gene:Os01g0115800,1.04174
gene:Os01g0115900,1.02624
gene:Os01g0116400,2.74993
gene:Os01g0117100,1.14917
gene:Os01g0116900,2.91363
gene:Os01g0116600,3.36205
gene:Os01g0118000,3.88765
gene:Os01g0119050,1.32575
gene:Os01g0118700,1.13017
gene:Os01g0118100,4.2746
gene:Os01g0119100,1.083
gene:Os01g0119500,2.27031
gene:Os01g0117900,35.998
gene:Os01g0120400,1.71616
gene:Os01g0120300,6.09087
gene:Os01g0120600,1.3573
gene:Os01g0120500,22.6988
gene:Os01g0120700,5.17535
gene:Os01g0121300,1.32961
