tracking_id FPKM locus gene_id tracking_id
gene:AT1G03987 0 1:3630-5899 gene:AT1G01010 gene:AT1G01010
gene:AT1G01010 1.93967 1:11100-11372 gene:AT1G03987 gene:AT1G03987
gene:AT1G01030 0.723683 1:11648-13714 gene:AT1G01030 gene:AT1G01030
gene:AT1G01020 6.31607 1:6787-9130 gene:AT1G01020 gene:AT1G01020
gene:AT1G04003 0 1:43086-43295 gene:AT1G01040 gene:AT1G01040
gene:AT1G01070 7.38495 1:38443-41017 gene:AT1G03997 gene:AT1G03997
gene:AT1G01040 5.80049 1:23120-31227 gene:AT1G03993 gene:AT1G03993
gene:AT1G03997 0 1:32726-33009 gene:AT1G01050 gene:AT1G01050
gene:AT1G03993 8.95217e-60 1:23311-24099 gene:AT1G01046 gene:AT1G01046
gene:AT1G01050 53.1175 1:31169-33171 gene:AT1G04003 gene:AT1G04003
gene:AT1G01046 0 1:28499-28706 gene:AT1G01070 gene:AT1G01070
gene:AT1G01080 46.9296 1:44969-47059 gene:AT1G01080 gene:AT1G01080
gene:AT1G01060 45.0723 - - 112.043
gene:AT1G01090 - - - OK
gene:AT1G01110 2.10381 1:51952-54737 gene:AT1G01130 gene:AT1G01130
gene:AT1G01130 4.66955 1:61904-63811 gene:AT1G01120 gene:AT1G01120
gene:AT1G01120 49.068 1:57163-59215 gene:AT1G01060 gene:AT1G01100
gene:AT1G01150 0.132603 1:69910-72138 gene:AT1G01100 gene:AT1G01150
gene:AT1G01183 0 1:78926-79037 gene:AT1G01150 gene:AT1G01183
gene:AT1G01200 1.75435 1:75389-76845 gene:AT1G01183 gene:AT1G01180
gene:AT1G01180 12.2578 1:86485-88409 gene:AT1G01180 gene:AT1G01200
gene:AT1G01190 2.70901 1:82983-84946 gene:AT1G01200 gene:AT1G01190
gene:AT1G01140 27.7791 1:88621-90502 gene:AT1G01190 gene:AT1G01225
gene:AT1G01225 3.05695 1:90168-90401 gene:AT1G01225 gene:AT1G01230
gene:AT1G01210 23.747 1:95934-97407 gene:AT1G01210 gene:AT1G01240
gene:AT1G04017 4.74523 1:72338-74096 gene:AT1G04017 gene:AT1G01210
gene:AT1G01230 28.1148 1:74434-74683 gene:AT1G01160 gene:AT1G04017
gene:AT1G01250 4.32769 1:72645-73108 gene:AT1G04013 gene:AT1G01250
gene:AT1G01270 0 1:73930-74737 gene:AT1G04007 gene:AT1G01160
gene:AT1G01280 0 1:97411-99240 gene:AT1G01170 gene:AT1G04013
gene:AT1G01100 412.797 1:104439-105330 gene:AT1G01230 gene:AT1G04007
gene:AT1G01260 4.4108 1:111889-111961 gene:AT1G01250 gene:AT1G01170
gene:AT1G01160 26.1738 1:112262-113947 gene:AT1G01270 gene:AT1G01270
gene:AT1G04013 0 1:64165-67774 gene:AT1G01240 gene:AT1G01280
gene:AT1G04007 3.85469 1:108945-111699 gene:AT1G01280 gene:AT1G01260
gene:AT1G01170 118.417 1:99864-101987 gene:AT1G01260 gene:AT1G01290
gene:AT1G01240 16.1888 1:114201-116407 gene:AT1G01290 gene:AT1G01220
gene:AT1G01290 9.73629 1:119380-119997 gene:AT1G01305 gene:AT1G04023
gene:AT1G01305 0 1:116783-118845 gene:AT1G01220 gene:AT1G01305
gene:AT1G01220 7.41644 1:49908-51210 gene:AT1G04023 gene:AT1G01300
gene:AT1G04023 1.69038e-132 1:91341-95681 gene:AT1G01300 gene:AT1G01140
gene:AT1G01300 39.358 1:91355-91685 gene:AT1G01335 gene:AT1G01335
gene:AT1G01335 0 1:130735-130858 gene:AT1G01355 gene:AT1G01350
gene:AT1G01340 1.27319 1:132269-135924 gene:AT1G01360 gene:AT1G01355
gene:AT1G01355 0.442376 1:138488-139680 gene:AT1G01350 gene:AT1G01340
gene:AT1G01350 10.6212 1:141869-143261 gene:AT1G01340 gene:AT1G01360
gene:AT1G01360 10.9903 1:150688-152210 gene:AT1G01370 gene:AT1G01400
gene:AT1G01400 0 1:136089-138162 gene:AT1G01400 gene:AT1G01410
gene:AT1G01410 0 1:143488-146479 gene:AT1G01410 gene:AT1G01370
gene:AT1G01370 3.4353 1:153112-154198 gene:AT1G01380 gene:AT1G01380
gene:AT1G01380 1.64552 1:147042-148014 gene:AT1G01390 gene:AT1G01390
gene:AT1G01390 2.16624 1:148012-149848 gene:AT1G01140 gene:AT1G01453
gene:AT1G01420 12.1883 1:154366-156178 gene:AT1G01460 gene:AT1G01440
gene:AT1G01440 4.36116 1:156476-158823 gene:AT1G01453 gene:AT1G01420
gene:AT1G01460 0 1:168558-171386 gene:AT1G01440 gene:AT1G01430
gene:AT1G01453 0.205281 1:166588-168088 gene:AT1G01430 gene:AT1G01460
gene:AT1G01480 0.138335 1:159627-162953 gene:AT1G01448 gene:AT1G01448
gene:AT1G01470 18.0152 1:163277-166353 gene:AT1G01450 gene:AT1G01450
gene:AT1G01448 4.94022 1:164104-165517 gene:AT1G01420 gene:AT1G01060
gene:AT1G01450 0.292235 1:175705-178406 gene:AT1G01310 gene:AT1G01480
gene:AT1G01430 48.6493 1:185032-187135 gene:AT1G01320 gene:AT1G01500
gene:AT1G01500 7.50905 1:171524-172948 gene:AT1G01480 gene:AT1G01530
gene:AT1G01530 0 1:192633-193670 gene:AT1G01500 gene:AT1G01470
gene:AT1G01510 12.0136 1:180016-182749 gene:AT1G01490 gene:AT1G01490
gene:AT1G01520 6.79122 1:187144-190472 gene:AT1G01530 gene:AT1G01540
gene:AT1G01490 52.4563 1:190407-192436 gene:AT1G01510 gene:AT1G01510
gene:AT1G01540 30.9876 1:204934-207642 gene:AT1G01520 gene:AT1G01520
gene:AT1G01570 0.376273 1:195644-198787 gene:AT1G01590 gene:AT1G01570
gene:AT1G01590 0.440991 1:214149-217734 gene:AT1G01570 gene:AT1G01590
gene:AT1G01580 0.386338 1:208994-213082 gene:AT1G01540 gene:AT1G01580
gene:AT1G01560 0.638141 1:218833-221286 gene:AT1G01580 gene:AT1G01600
gene:AT1G01600 3.6796 1:202102-204440 gene:AT1G01560 gene:AT1G01560
gene:AT1G01610 29.5583 1:221641-224351 gene:AT1G01600 gene:AT1G01610
gene:AT1G01550 83.5936 1:199526-201775 gene:AT1G01610 gene:AT1G01550
gene:AT1G01310 0.107384 1:228798-230979 gene:AT1G01550 gene:AT1G01680
gene:AT1G01320 55.5216 1:230907-232630 gene:AT1G01630 gene:AT1G01660
gene:AT1G01680 0.340741 1:246261-248440 gene:AT1G01640 gene:AT1G01670
gene:AT1G01660 0.87283 1:239840-242703 gene:AT1G01620 gene:AT1G01690
gene:AT1G01695 0.349202 1:242712-246054 gene:AT1G01680 gene:AT1G01630
gene:AT1G01670 1.97734 1:249040-252522 gene:AT1G01660 gene:AT1G01640
gene:AT1G01690 1.72129 1:225664-227543 gene:AT1G04033 gene:AT1G04033
gene:AT1G01630 42.6274 1:255021-255384 gene:AT1G01695 gene:AT1G04037
gene:AT1G01640 0.9969 1:258716-258963 gene:AT1G01670 gene:AT1G01695
gene:AT1G04033 0 1:252625-254530 gene:AT1G01690 gene:AT1G01700
gene:AT1G04037 0.555164 1:259306-261667 gene:AT1G04037 gene:AT1G01650
gene:AT1G01700 1.04941 1:266332-267883 gene:AT1G01700 gene:AT1G04027
gene:AT1G01715 3.2303 1:262827-266324 gene:AT1G01715 gene:AT1G01715
gene:AT1G01650 10.9797 1:232839-237905 gene:AT1G01710 gene:AT1G01710
gene:AT1G04027 0 1:234005-234159 gene:AT1G01770 gene:AT1G01310
gene:AT1G01710 18.3551 1:278599-282891 gene:AT1G01780 gene:AT1G01320
gene:AT1G01770 4.3643 1:282760-284245 gene:AT1G01650 gene:AT1G01770
gene:AT1G01780 8.76232 1:275187-276310 gene:AT1G04027 gene:AT1G01780
gene:AT1G01750 0.244628 1:276542-276729 gene:AT1G01750 gene:AT1G01750
gene:AT1G04057 0 1:275472-276319 gene:AT1G04057 gene:AT1G04057
gene:AT1G04053 1.87319 1:276265-278599 gene:AT1G04053 gene:AT1G04053
gene:AT1G01760 1.07245 1:267992-268336 gene:AT1G01760 gene:AT1G01760
gene:AT1G04043 0 1:269791-270859 gene:AT1G04043 gene:AT1G01620
gene:AT1G01725 9.93456 1:272110-274930 gene:AT1G01725 gene:AT1G04043
gene:AT1G01740 2.91091 1:267992-269819 gene:AT1G01740 gene:AT1G01725
