tracking_id FPKM locus gene_id tracking_id
gene:AT1G03987 0 1:3630-5899 gene:AT1G01010 gene:AT1G01010
gene:AT1G01010 1.95114 1:11100-11372 gene:AT1G03987 gene:AT1G03987
gene:AT1G01030 0.826094 1:11648-13714 gene:AT1G01030 gene:AT1G01030
gene:AT1G01020 10.7988 1:6787-9130 gene:AT1G01020 gene:AT1G01020
gene:AT1G04003 0 1:43086-43295 gene:AT1G04003 gene:AT1G04003
gene:AT1G01070 8.18994 1:38443-41017 gene:AT1G01070 gene:AT1G01070
gene:AT1G01040 6.93599 1:23120-31227 gene:AT1G01040 gene:AT1G01040
gene:AT1G03997 0 1:32726-33009 gene:AT1G03997 gene:AT1G03997
gene:AT1G03993 6.32288e-163 1:23311-24099 gene:AT1G03993 gene:AT1G03993
gene:AT1G01050 58.5985 1:31169-33171 gene:AT1G01050 gene:AT1G01050
gene:AT1G01046 1.27096 1:28499-28706 gene:AT1G01046 gene:AT1G01046
gene:AT1G01080 49.9901 1:44969-47059 gene:AT1G01080 gene:AT1G01080
gene:AT1G01090 - - - OK
gene:AT1G01060 52.6103 - - 122.086
gene:AT1G01110 2.60761 1:51952-54737 gene:AT1G01110 gene:AT1G01110
gene:AT1G01130 6.64372 1:61904-63811 gene:AT1G01130 gene:AT1G01130
gene:AT1G01120 29.9804 1:57163-59215 gene:AT1G01120 gene:AT1G01120
gene:AT1G01150 0.219435 1:69910-72138 gene:AT1G01150 gene:AT1G01150
gene:AT1G01140 19.0616 1:78926-79037 gene:AT1G01183 gene:AT1G01200
gene:AT1G01183 0 1:75389-76845 gene:AT1G01180 gene:AT1G01183
gene:AT1G01180 12.2522 1:86485-88409 gene:AT1G01200 gene:AT1G01180
gene:AT1G01200 2.46321 1:82983-84946 gene:AT1G01190 gene:AT1G01190
gene:AT1G01190 2.84059 1:88621-90502 gene:AT1G01140 gene:AT1G01140
gene:AT1G01210 33.3098 1:90168-90401 gene:AT1G01225 gene:AT1G01210
gene:AT1G04017 18.9458 1:95934-97407 gene:AT1G01210 gene:AT1G04017
gene:AT1G01225 4.3081 1:64165-67774 gene:AT1G04017 gene:AT1G01225
gene:AT1G01230 25.1292 1:97411-99240 gene:AT1G01230 gene:AT1G01230
gene:AT1G01250 4.40175 1:49908-51210 gene:AT1G01250 gene:AT1G01250
gene:AT1G01270 0 1:104439-105330 gene:AT1G01270 gene:AT1G01160
gene:AT1G01280 0 1:111889-111961 gene:AT1G01280 gene:AT1G04013
gene:AT1G01160 40.6602 1:72338-74096 gene:AT1G01260 gene:AT1G04007
gene:AT1G04013 2.59278 1:74434-74683 gene:AT1G01160 gene:AT1G01170
gene:AT1G04007 4.89423 1:72645-73108 gene:AT1G04013 gene:AT1G01270
gene:AT1G01170 155.162 1:73930-74737 gene:AT1G04007 gene:AT1G01280
gene:AT1G01260 5.721 1:108945-111699 gene:AT1G01170 gene:AT1G01260
gene:AT1G01290 12.8824 1:112262-113947 gene:AT1G01100 gene:AT1G01290
gene:AT1G01305 0 1:99864-101987 gene:AT1G01240 gene:AT1G01240
gene:AT1G01240 22.3446 1:114201-116407 gene:AT1G01290 gene:AT1G01305
gene:AT1G01300 50.7762 1:119380-119997 gene:AT1G01305 gene:AT1G01100
gene:AT1G01220 10.9213 1:116783-118845 gene:AT1G01220 gene:AT1G01300
gene:AT1G04023 0 1:91341-95681 gene:AT1G04023 gene:AT1G01220
gene:AT1G01100 721.206 1:91355-91685 gene:AT1G01300 gene:AT1G04023
gene:AT1G01335 0 1:130735-130858 gene:AT1G01335 gene:AT1G01335
gene:AT1G01340 1.99772 1:132269-135924 gene:AT1G01340 gene:AT1G01355
gene:AT1G01355 0.318658 1:138488-139680 gene:AT1G01355 gene:AT1G01340
gene:AT1G01350 14.0809 1:136089-138162 gene:AT1G01350 gene:AT1G01360
gene:AT1G01360 11.5107 1:141869-143261 gene:AT1G01360 gene:AT1G01410
gene:AT1G01400 0 1:150688-152210 gene:AT1G01400 gene:AT1G01400
gene:AT1G01410 0 1:143488-146479 gene:AT1G01410 gene:AT1G01350
gene:AT1G01370 10.341 1:153112-154198 gene:AT1G01370 gene:AT1G01370
gene:AT1G01380 1.94454 1:147042-148014 gene:AT1G01380 gene:AT1G01460
gene:AT1G01390 0.542845 1:148012-149848 gene:AT1G01390 gene:AT1G01430
gene:AT1G01420 13.0042 1:154366-156178 gene:AT1G01420 gene:AT1G01380
gene:AT1G01440 4.37868 1:168558-171386 gene:AT1G01440 gene:AT1G01390
gene:AT1G01460 0 1:166588-168088 gene:AT1G01460 gene:AT1G01440
gene:AT1G01453 0.0440098 1:159627-162953 gene:AT1G01453 gene:AT1G01453
gene:AT1G01480 0.059127 1:175705-178406 gene:AT1G01480 gene:AT1G01420
gene:AT1G01470 14.489 1:171524-172948 gene:AT1G01470 gene:AT1G01448
gene:AT1G01430 52.4558 1:163277-166353 gene:AT1G01430 gene:AT1G01450
gene:AT1G01448 5.81349 1:164104-165517 gene:AT1G01448 gene:AT1G01480
gene:AT1G01450 0.426614 1:156476-158823 gene:AT1G01450 gene:AT1G01470
gene:AT1G01500 7.33002 1:185032-187135 gene:AT1G01500 gene:AT1G01500
gene:AT1G01530 0.0796646 1:192633-193670 gene:AT1G01530 gene:AT1G01490
gene:AT1G01510 15.3936 1:180016-182749 gene:AT1G01510 gene:AT1G01530
gene:AT1G01520 4.93324 1:187144-190472 gene:AT1G01520 gene:AT1G01510
gene:AT1G01490 64.1154 1:190407-192436 gene:AT1G01490 gene:AT1G01520
gene:AT1G01570 0.402589 1:195644-198787 gene:AT1G01570 gene:AT1G01590
gene:AT1G01590 0.620526 1:204934-207642 gene:AT1G01590 gene:AT1G01570
gene:AT1G01560 0.357416 1:214149-217734 gene:AT1G01580 gene:AT1G01560
gene:AT1G01580 0.524145 1:208994-213082 gene:AT1G01540 gene:AT1G01580
gene:AT1G01540 32.5461 1:202102-204440 gene:AT1G01560 gene:AT1G01600
gene:AT1G01600 4.95421 1:218833-221286 gene:AT1G01600 gene:AT1G01610
gene:AT1G01610 29.842 1:221641-224351 gene:AT1G01610 gene:AT1G01540
gene:AT1G01550 78.7684 1:199526-201775 gene:AT1G01550 gene:AT1G01550
gene:AT1G01630 31.1849 1:246261-248440 gene:AT1G01310 gene:AT1G01630
gene:AT1G01640 0.248367 1:239840-242703 gene:AT1G01320 gene:AT1G01640
gene:AT1G01680 0.228382 1:242712-246054 gene:AT1G01680 gene:AT1G01660
gene:AT1G01660 1.67286 1:249040-252522 gene:AT1G01660 gene:AT1G01680
gene:AT1G01670 4.60966 1:228798-230979 gene:AT1G01695 gene:AT1G01670
gene:AT1G01690 4.59531 1:230907-232630 gene:AT1G01670 gene:AT1G01695
gene:AT1G04033 0 1:120153-121130 gene:AT1G01690 gene:AT1G04033
gene:AT1G01695 0.870968 1:121066-130577 gene:AT1G01630 gene:AT1G04037
gene:AT1G04037 1.33008 1:255021-255384 gene:AT1G01640 gene:AT1G01690
gene:AT1G01310 0.0577338 1:252625-254530 gene:AT1G04033 gene:AT1G01700
gene:AT1G01320 59.0865 1:258716-258963 gene:AT1G04037 gene:AT1G01620
gene:AT1G01700 1.41361 1:232839-237905 gene:AT1G01700 gene:AT1G01715
gene:AT1G01650 14.0539 1:234005-234159 gene:AT1G01715 gene:AT1G01710
