tracking_id FPKM locus gene_id tracking_id
gene:Os01g0100200 0.139991 1:11217-12435 gene:Os01g0100200 gene:Os01g0100100
gene:Os01g0100300 2.77673e-07 1:11371-12284 gene:Os01g0100300 gene:Os01g0100200
gene:Os01g0100100 9.39381 1:12720-15685 gene:Os01g0100100 gene:Os01g0100300
gene:Os01g0100400 0.882536 1:12807-13978 gene:Os01g0100400 gene:Os01g0100400
gene:Os01g0100466 5.64885e-06 1:2982-10815 gene:Os01g0100466 gene:Os01g0100466
gene:Os01g0100500 9.96589 1:16398-20144 gene:Os01g0100500 gene:Os01g0100500
gene:Os01g0100600 9.30061 1:27142-28644 gene:Os01g0100700 gene:Os01g0100700
gene:Os01g0100650 12.8036 1:22840-26892 gene:Os01g0100600 gene:Os01g0100600
gene:Os01g0100700 32.1815 1:25860-26424 gene:Os01g0100650 gene:Os01g0100650
gene:Os01g0100800 8.02559 1:29817-34453 gene:Os01g0100800 gene:Os01g0100800
gene:Os01g0101150 0.0674858 1:58657-61090 gene:Os01g0101150 gene:Os01g0101150
gene:Os01g0101175 0.381874 1:60090-61086 gene:Os01g0101175 gene:Os01g0101175
gene:Os01g0100900 22.897 1:35622-41136 gene:Os01g0100900 gene:Os01g0100900
gene:Os01g0101200 95.8491 1:62059-65537 gene:Os01g0101200 gene:Os01g0101700
gene:Os01g0101300 4.69811 1:63349-66302 gene:Os01g0101300 gene:Os01g0101900
gene:Os01g0101900 0 1:88882-89228 gene:Os01g0101900 gene:Os01g0102000
gene:Os01g0102000 0 1:89762-91521 gene:Os01g0102000 gene:Os01g0102400
gene:Os01g0101700 68.8301 1:82425-84095 gene:Os01g0101700 gene:Os01g0101800
gene:Os01g0101800 4.39368 1:85336-88844 gene:Os01g0101600 gene:Os01g0101850
gene:Os01g0101850 6.74747e-06 1:86210-88583 gene:Os01g0101800 gene:Os01g0102300
gene:Os01g0102400 0.197789 1:139825-141555 gene:Os01g0101850 gene:Os01g0101600
gene:Os01g0101600 31.025 1:72815-78349 gene:Os01g0102400 gene:Os01g0102500
gene:Os01g0102300 28.5009 1:134299-135439 gene:Os01g0102300 gene:Os01g0101200
gene:Os01g0102500 5.85672 1:141958-144554 gene:Os01g0102500 gene:Os01g0101300
gene:Os01g0102800 2.89589 1:148084-150568 gene:Os01g0102700 gene:Os01g0102700
gene:Os01g0102850 3.49728 1:164576-168921 gene:Os01g0102800 gene:Os01g0102800
gene:Os01g0102700 27.9506 1:152852-156449 gene:Os01g0102850 gene:Os01g0102600
gene:Os01g0102600 107.703 1:145602-147847 gene:Os01g0102600 gene:Os01g0102850
gene:ENSRNA049442722 0 1:182073-182154 gene:ENSRNA049442722 gene:ENSRNA049442722
gene:Os01g0103400 2.18241 1:185188-185828 gene:Os01g0103400 gene:Os01g0103400
gene:Os01g0103000 0.712738 1:170797-173144 gene:Os01g0103000 gene:Os01g0103000
gene:Os01g0103050 7.40342e-10 1:172586-175073 gene:Os01g0103050 gene:Os01g0103050
gene:Os01g0103100 2.13859 1:191036-196287 gene:Os01g0103100 gene:Os01g0103700
gene:Os01g0103075 1.09462e-51 1:178606-180575 gene:Os01g0103075 gene:Os01g0103100
gene:Os01g0103700 1.02751 1:178814-180433 gene:Os01g0103700 gene:Os01g0103075
gene:Os01g0103600 12.4899 1:186249-190904 gene:Os01g0103800 gene:Os01g0103600
gene:Os01g0103650 1.8399e-06 1:187544-188586 gene:Os01g0103600 gene:Os01g0103650
gene:Os01g0103800 8.97848 1:197646-200803 gene:Os01g0103650 gene:Os01g0103800
gene:Os01g0103900 0.114644 1:169389-170316 gene:Os01g0103900 gene:Os01g0103900
gene:Os01g0104000 9.30708 1:201943-206202 gene:Os01g0104000 gene:Os01g0104000
gene:Os01g0104200 0 1:206130-209606 gene:Os01g0102900 gene:Os01g0104200
gene:Os01g0104350 9.11744 1:216125-217664 gene:Os01g0104200 gene:Os01g0104350
gene:Os01g0102900 803.45 1:224915-225543 gene:Os01g0104350 gene:Os01g0102900
gene:Os01g0104100 60.8595 1:209770-214173 gene:Os01g0104500 gene:Os01g0104500
gene:Os01g0104500 0 1:241679-243440 gene:Os01g0104100 gene:Os01g0104100
gene:Os01g0104900 0.776641 1:270178-275084 gene:Os01g0104900 gene:Os01g0104400
gene:Os01g0105700 0 1:303232-306736 gene:Os01g0104800 gene:Os01g0104900
gene:Os01g0104800 7.24423 1:261529-268145 gene:Os01g0105700 gene:Os01g0104800
gene:Os01g0105800 1.98139 1:306870-308842 gene:Os01g0105800 gene:Os01g0105700
gene:Os01g0105300 0.224522 1:284761-291892 gene:Os01g0105300 gene:Os01g0105800
gene:Os01g0105400 4.12083 1:288371-292296 gene:Os01g0105400 gene:Os01g0105300
gene:Os01g0104600 26.1365 1:327127-328450 gene:Os01g0106400 gene:Os01g0105400
gene:Os01g0106300 0 1:322590-323923 gene:Os01g0106300 gene:Os01g0104600
gene:Os01g0105900 23.6767 1:331381-332345 gene:Os01g0106500 gene:Os01g0105900
gene:Os01g0106400 0.258244 1:309519-313170 gene:Os01g0106200 gene:Os01g0106300
gene:Os01g0106500 6.7766 1:319753-322205 gene:Os01g0105900 gene:Os01g0106200
gene:Os01g0106200 21.7952 1:332666-333689 gene:Os01g0106600 gene:Os01g0106400
gene:Os01g0106600 2.91259 1:248827-256872 gene:Os01g0104600 gene:Os01g0106500
gene:Os01g0106700 2.73756 1:226896-229301 gene:Os01g0104400 gene:Os01g0106600
gene:Os01g0104400 191.858 1:335707-371194 gene:Os01g0106700 gene:Os01g0106700
gene:Os01g0106800 44.5338 1:371830-374412 gene:Os01g0106800 gene:Os01g0106800
gene:Os01g0107400 3.95208 1:392082-392578 gene:Os01g0107400 gene:Os01g0107400
gene:Os01g0107801 0 1:416057-416130 gene:Os01g0107801 gene:Os01g0107801
gene:Os01g0107700 1.19438 1:412624-415823 gene:Os01g0107700 gene:Os01g0107000
gene:Os01g0107750 8.92778e-08 1:412635-415516 gene:Os01g0107750 gene:Os01g0107700
gene:Os01g0107000 16.0799 1:383249-386648 gene:Os01g0107000 gene:Os01g0107750
gene:Os01g0108000 8.29888 1:422538-431217 gene:Os01g0108000 gene:Os01g0108000
gene:Os01g0108400 2.2516 1:455706-457425 gene:Os01g0108200 gene:Os01g0108400
gene:Os01g0108500 0.750565 1:441202-448951 gene:Os01g0108400 gene:Os01g0108200
gene:Os01g0108200 8.69505 1:460176-461371 gene:Os01g0108500 gene:Os01g0108500
gene:Os01g0108700 0.150839 1:416263-420497 gene:Os01g0107900 gene:Os01g0108700
gene:Os01g0107900 70.1895 1:482331-482955 gene:Os01g0108700 gene:Os01g0108800
gene:Os01g0108800 2.10596 1:483886-486492 gene:Os01g0108800 gene:Os01g0108600
gene:Os01g0108600 35.2822 1:495710-497253 gene:Os01g0109000 gene:Os01g0109000
gene:Os01g0109000 15.5754 1:478383-481165 gene:Os01g0108600 gene:Os01g0107900
gene:Os01g0109366 0 1:508686-509191 gene:Os01g0109366 gene:Os01g0109366
gene:Os01g0109432 0.337306 1:509225-509803 gene:Os01g0109432 gene:Os01g0109432
