tracking_id FPKM locus gene_id tracking_id
gene:Os01g0100200 1.53751e-06 1:2982-10815 gene:Os01g0100100 gene:Os01g0100100
gene:Os01g0100300 0.159513 1:11217-12435 gene:Os01g0100200 gene:Os01g0100200
gene:Os01g0100100 9.56291 1:11371-12284 gene:Os01g0100300 gene:Os01g0100300
gene:Os01g0100400 1.04821 1:12720-15685 gene:Os01g0100400 gene:Os01g0100400
gene:Os01g0100466 2.66458e-06 1:12807-13978 gene:Os01g0100466 gene:Os01g0100466
gene:Os01g0100500 10.2178 1:16398-20144 gene:Os01g0100500 gene:Os01g0100500
gene:Os01g0100700 15.9603 1:27142-28644 gene:Os01g0100600 gene:Os01g0100700
gene:Os01g0100600 9.03797 1:22840-26892 gene:Os01g0100650 gene:Os01g0100800
gene:Os01g0100650 7.55904 1:25860-26424 gene:Os01g0100700 gene:Os01g0100600
gene:Os01g0100800 6.8153 1:29817-34453 gene:Os01g0100800 gene:Os01g0100650
gene:Os01g0101150 1.21058e-07 1:35622-41136 gene:Os01g0101150 gene:Os01g0101150
gene:Os01g0101175 0.122487 1:58657-61090 gene:Os01g0101175 gene:Os01g0101175
gene:Os01g0100900 17.2147 1:60090-61086 gene:Os01g0100900 gene:Os01g0100900
gene:Os01g0101200 80.6578 1:82425-84095 gene:Os01g0101200 gene:Os01g0101200
gene:Os01g0101300 5.29493 1:88882-89228 gene:Os01g0101300 gene:Os01g0101300
gene:Os01g0101900 0 1:89762-91521 gene:Os01g0101700 gene:Os01g0101600
gene:Os01g0102000 0 1:139825-141555 gene:Os01g0101900 gene:Os01g0101900
gene:Os01g0101700 62.918 1:85336-88844 gene:Os01g0102000 gene:Os01g0102000
gene:Os01g0101600 28.5689 1:86210-88583 gene:Os01g0101600 gene:Os01g0101700
gene:Os01g0101800 4.41906 1:134299-135439 gene:Os01g0101800 gene:Os01g0102400
gene:Os01g0101850 0.000842645 1:72815-78349 gene:Os01g0101850 gene:Os01g0101800
gene:Os01g0102400 0.717509 1:62059-65537 gene:Os01g0102400 gene:Os01g0101850
gene:Os01g0102300 31.5236 1:63349-66302 gene:Os01g0102300 gene:Os01g0102300
gene:Os01g0102500 7.43495 1:141958-144554 gene:Os01g0102500 gene:Os01g0102500
gene:Os01g0102700 22.4694 1:148084-150568 gene:Os01g0102700 gene:Os01g0102700
gene:Os01g0102850 3.1701 1:152852-156449 gene:Os01g0102800 gene:Os01g0102850
gene:Os01g0102800 2.86743 1:145602-147847 gene:Os01g0102600 gene:Os01g0102800
gene:Os01g0102600 115.136 1:164576-168921 gene:Os01g0102850 gene:Os01g0102600
gene:ENSRNA049442722 0 1:182073-182154 gene:ENSRNA049442722 gene:ENSRNA049442722
gene:Os01g0103400 1.17555 1:185188-185828 gene:Os01g0103400 gene:Os01g0103400
gene:Os01g0103000 0.0794758 1:191036-196287 gene:Os01g0103000 gene:Os01g0103000
gene:Os01g0103050 0 1:170797-173144 gene:Os01g0103050 gene:Os01g0103050
gene:Os01g0103700 0.61722 1:172586-175073 gene:Os01g0103100 gene:Os01g0103700
gene:Os01g0103100 2.3779 1:178606-180575 gene:Os01g0103075 gene:Os01g0103100
gene:Os01g0103075 1.07309e-22 1:178814-180433 gene:Os01g0103700 gene:Os01g0103075
gene:Os01g0103800 7.32505 1:197646-200803 gene:Os01g0103600 gene:Os01g0103800
gene:Os01g0103600 9.85819 1:186249-190904 gene:Os01g0103650 gene:Os01g0103600
gene:Os01g0103650 9.5952e-07 1:187544-188586 gene:Os01g0103800 gene:Os01g0103650
gene:Os01g0103900 0.0163636 1:201943-206202 gene:Os01g0103900 gene:Os01g0102900
gene:Os01g0104000 6.79093 1:206130-209606 gene:Os01g0104000 gene:Os01g0103900
gene:Os01g0102900 516.33 1:216125-217664 gene:Os01g0104200 gene:Os01g0104000
gene:Os01g0104200 0.0265919 1:224915-225543 gene:Os01g0104350 gene:Os01g0104200
gene:Os01g0104350 5.73849 1:169389-170316 gene:Os01g0104500 gene:Os01g0104350
gene:Os01g0104500 0 1:241679-243440 gene:Os01g0104100 gene:Os01g0104500
gene:Os01g0104100 79.9158 1:209770-214173 gene:Os01g0104900 gene:Os01g0104100
gene:Os01g0104900 0.77674 1:226896-229301 gene:Os01g0104800 gene:Os01g0104400
gene:Os01g0104800 2.43086 1:270178-275084 gene:Os01g0105700 gene:Os01g0104900
gene:Os01g0105700 0.174645 1:303232-306736 gene:Os01g0105800 gene:Os01g0104800
gene:Os01g0105800 3.4234 1:306870-308842 gene:Os01g0104400 gene:Os01g0105700
gene:Os01g0105300 0.318288 1:261529-268145 gene:Os01g0102900 gene:Os01g0105800
gene:Os01g0105400 3.57855 1:284761-291892 gene:Os01g0105300 gene:Os01g0105300
gene:Os01g0106400 0.452907 1:288371-292296 gene:Os01g0105400 gene:Os01g0105400
gene:Os01g0106300 2.75133 1:248827-256872 gene:Os01g0104600 gene:Os01g0106400
gene:Os01g0106500 3.5723 1:309519-313170 gene:Os01g0105900 gene:Os01g0106300
gene:Os01g0105900 23.4618 1:322590-323923 gene:Os01g0106300 gene:Os01g0106500
gene:Os01g0106200 16.6362 1:327127-328450 gene:Os01g0106400 gene:Os01g0106200
gene:Os01g0106600 1.57992 1:319753-322205 gene:Os01g0106200 gene:Os01g0106600
gene:Os01g0104600 34.8409 1:332666-333689 gene:Os01g0106500 gene:Os01g0105900
gene:Os01g0104400 143.304 1:331381-332345 gene:Os01g0106600 gene:Os01g0106700
gene:Os01g0106700 1.57401 1:335707-371194 gene:Os01g0106700 gene:Os01g0106800
gene:Os01g0106800 33.5683 1:371830-374412 gene:Os01g0106800 gene:Os01g0104600
gene:Os01g0107400 3.04045 1:416057-416130 gene:Os01g0107400 gene:Os01g0107400
gene:Os01g0107801 0 1:392082-392578 gene:Os01g0107801 gene:Os01g0107801
gene:Os01g0107700 1.15805 1:383249-386648 gene:Os01g0107000 gene:Os01g0107700
gene:Os01g0107750 6.14229e-07 1:412624-415823 gene:Os01g0107700 gene:Os01g0107750
gene:Os01g0107000 14.6973 1:412635-415516 gene:Os01g0107750 gene:Os01g0107000
gene:Os01g0108000 7.75975 1:422538-431217 gene:Os01g0108000 gene:Os01g0108000
gene:Os01g0108200 8.41275 1:455706-457425 gene:Os01g0108400 gene:Os01g0108400
gene:Os01g0108400 14.2246 1:441202-448951 gene:Os01g0108200 gene:Os01g0108500
gene:Os01g0108500 3.17251 1:460176-461371 gene:Os01g0108500 gene:Os01g0108200
gene:Os01g0107900 59.5133 1:482331-482955 gene:Os01g0108700 gene:Os01g0107900
gene:Os01g0108700 0 1:483886-486492 gene:Os01g0107900 gene:Os01g0108700
gene:Os01g0108800 4.5979 1:478383-481165 gene:Os01g0108800 gene:Os01g0108800
gene:Os01g0109000 14.1917 1:495710-497253 gene:Os01g0108600 gene:Os01g0109000
gene:Os01g0108600 51.1105 1:416263-420497 gene:Os01g0109000 gene:Os01g0108600
gene:Os01g0109366 0 1:374727-380713 gene:Os01g0106900 gene:Os01g0109366
gene:Os01g0109432 0 1:508686-509191 gene:Os01g0109366 gene:Os01g0109432
gene:Os01g0109500 0.0317231 1:509225-509803 gene:Os01g0109432 gene:Os01g0109500
gene:Os01g0109300 32.9088 1:510751-512142 gene:Os01g0109500 gene:Os01g0106900
gene:Os01g0109201 2.37824e-09 1:498453-506264 gene:Os01g0109300 gene:Os01g0109300
gene:Os01g0109750 10.1046 1:498611-506251 gene:Os01g0109201 gene:Os01g0109201
gene:Os01g0106900 239.387 1:524670-527980 gene:Os01g0109750 gene:Os01g0109750
gene:Os01g0110200 5.31698 1:543424-544510 gene:Os01g0110200 gene:Os01g0110200
gene:Os01g0110050 0.148602 1:536972-538644 gene:Os01g0110050 gene:Os01g0110050
gene:Os01g0110100 2.83035 1:537709-543354 gene:Os01g0110100 gene:Os01g0110100
gene:Os01g0110800 0.260195 1:576494-579569 gene:Os01g0110800 gene:Os01g0110800
gene:Os01g0110700 0.394865 1:562087-572092 gene:Os01g0110700 gene:Os01g0110700
gene:Os01g0110500 0.974455 1:549156-552574 gene:Os01g0110400 gene:Os01g0110400
