GeneID,AverageFPKM
gene:AT1G01020,2.9497
gene:AT1G01070,2.29748
gene:AT1G01040,1.984
gene:AT1G01050,14.8996
gene:AT1G01080,12.7475
gene:AT1G01060,43.6741
gene:AT1G01130,1.91093
gene:AT1G01120,7.7451
gene:AT1G01140,5.0154
gene:AT1G01180,3.31305
gene:AT1G01210,8.57745
gene:AT1G04017,4.98645
gene:AT1G01225,1.32702
gene:AT1G01230,6.5323
gene:AT1G01250,1.35044
gene:AT1G01160,10.4151
gene:AT1G04007,1.47356
gene:AT1G01170,39.0405
gene:AT1G01260,1.68025
gene:AT1G01290,3.4706
gene:AT1G01240,5.83615
gene:AT1G01300,12.9441
gene:AT1G01220,2.98033
gene:AT1G01100,180.552
gene:AT1G01350,3.77022
gene:AT1G01360,3.12767
gene:AT1G01370,2.83525
gene:AT1G01420,3.50105
gene:AT1G01440,1.34467
gene:AT1G01470,3.87225
gene:AT1G01430,13.364
gene:AT1G01448,1.70337
gene:AT1G01500,2.08251
gene:AT1G01510,4.0984
gene:AT1G01520,1.48331
gene:AT1G01490,16.2788
gene:AT1G01540,8.38653
gene:AT1G01600,1.48855
gene:AT1G01610,7.7105
gene:AT1G01550,19.9421
gene:AT1G01630,8.04622
gene:AT1G01670,1.40241
gene:AT1G01690,1.39883
gene:AT1G01320,15.0216
gene:AT1G01650,3.76348
gene:AT1G01715,1.44313
gene:AT1G01710,6.94247
gene:AT1G01770,1.53654
gene:AT1G01780,3.38002
gene:AT1G04053,1.05925
gene:AT1G01620,60.3593
gene:AT1G01725,4.77147
gene:AT1G01740,1.23452
gene:AT1G01720,2.85617
gene:AT1G01730,6.3782
gene:AT1G01820,6.29648
gene:AT1G01800,10.5209
gene:AT1G01830,4.1057
gene:AT1G01860,2.85527
gene:AT1G01840,1.38955
gene:AT1G04073,1.26024
gene:AT1G01930,1.85013
gene:AT1G01940,5.56578
gene:AT1G01790,6.81805
gene:AT1G01970,5.6586
gene:AT1G01990,5.45505
gene:AT1G02000,1.82792
gene:AT1G02050,2.58274
gene:AT1G01950,2.01433
gene:AT1G01960,3.38325
gene:AT1G02020,2.12162
gene:AT1G02065,1.02334
gene:AT1G02010,2.27795
gene:AT1G01920,3.00327
gene:AT1G01910,7.19512
gene:AT1G02090,8.80038
gene:AT1G02100,5.9113
gene:AT1G02110,5.83355
gene:AT1G02080,3.06005
gene:AT1G02140,23.8426
gene:AT1G02120,10.022
gene:AT1G02130,9.61727
gene:AT1G02145,3.50845
gene:AT1G02160,12.5599
gene:AT1G02150,14.8652
gene:AT1G02170,4.62753
gene:AT1G02180,3.73873
